utc,elapsed_seconds,pid,paused,resumes,captures,rss_mib,vms_mib,private_mib,pagefile_mib,system_used_mib,system_available_mib,swap_used_mib,gpu_used_mib,gpu_total_mib,gdi_objects,user_objects,handles,threads,error_log_bytes,crash_directories
2026-08-12T11:09:28.434337+00:00,2.047,29392,1,0,1,6071.199,9777.047,9777.047,9777.047,26663.637,6055.57,9389.727,5024,10240,119,83,1641,57,1173,60
2026-08-12T11:09:31.482245+00:00,5.297,29392,0,1,1,6143.109,9879.461,9879.461,9879.461,26835.27,5883.938,9375.5,5039,10240,119,83,1643,57,1173,60
2026-08-12T11:09:55.550004+00:00,29.375,29392,1,2,1,6288.5,10079.777,10079.777,10079.777,27122.594,5596.613,9371.25,5039,10240,119,83,1644,57,1173,60
2026-08-12T11:10:06.645537+00:00,40.484,29392,0,5,2,6279.305,10059.664,10059.664,10059.664,26839.02,5880.188,9371.25,5039,10240,119,83,1639,57,1173,60
2026-08-12T11:10:27.429803+00:00,61.266,29392,0,5,3,6354.281,10143.988,10143.988,10143.988,26906.496,5812.711,9367.168,5039,10240,119,83,1639,57,1173,60
2026-08-12T11:10:41.613109+00:00,75.469,29392,0,5,3,6344.543,10125.906,10125.906,10125.906,27151.41,5567.797,9366.398,5039,10240,119,83,1637,57,1173,60
2026-08-12T11:10:57.229129+00:00,91.078,29392,0,5,4,6378.855,10109.934,10109.934,10109.934,27490.219,5228.988,9364.234,5039,10240,119,83,1637,57,1173,60
2026-08-12T11:11:11.469539+00:00,105.312,29392,0,5,4,6423.648,10137.703,10137.703,10137.703,26637.75,6081.457,9350.066,5039,10240,119,83,1637,57,1173,60
2026-08-12T11:11:27.105507+00:00,120.937,29392,0,5,5,6442.816,10170.004,10170.004,10170.004,26471.02,6248.188,9350.043,5039,10240,119,84,1639,57,1173,60
2026-08-12T11:11:41.274827+00:00,135.109,29392,0,5,5,6448.688,10177.574,10177.574,10177.574,26407.09,6312.117,9350.039,5039,10240,119,84,1639,57,1173,60
2026-08-12T11:11:56.874356+00:00,150.719,29392,0,5,6,6465.516,10181.188,10181.188,10181.188,26763.582,5955.625,9350.031,5039,10240,119,84,1641,57,1173,60
2026-08-12T11:12:12.322270+00:00,166.156,29392,0,5,6,6449.965,10187.5,10187.5,10187.5,27012.262,5706.945,9350.023,5039,10240,119,84,1639,57,1173,60
2026-08-12T11:12:26.619783+00:00,180.453,29392,0,5,7,6429.383,10143.066,10143.066,10143.066,26497.945,6221.262,9350.02,5039,10240,119,84,1639,57,1173,60
2026-08-12T11:12:42.028313+00:00,195.875,29392,0,5,7,6434.23,10142.746,10142.746,10142.746,26869.625,5849.582,9349.996,5039,10240,119,84,1641,57,1173,60
2026-08-12T11:12:56.398625+00:00,210.234,29392,0,5,8,6422.25,10133.496,10133.496,10133.496,26806.457,5912.75,9349.992,5039,10240,119,84,1641,57,1173,60
2026-08-12T11:13:11.891968+00:00,225.734,29392,0,5,8,6447.957,10223.895,10223.895,10223.895,27102.566,5616.641,9344.047,5039,10240,119,84,1639,57,1173,60
2026-08-12T11:13:27.468574+00:00,241.312,29392,0,5,9,6435.133,10141.77,10141.77,10141.77,26813.828,5905.379,9343.918,5072,10240,119,84,1640,57,1262,60
2026-08-12T11:13:41.688290+00:00,255.516,29392,0,5,9,6426.027,10132.328,10132.328,10132.328,26848.133,5871.074,9343.004,5072,10240,119,84,1640,57,1262,60
2026-08-12T11:13:57.278330+00:00,271.125,29392,0,5,10,6453.199,10219.219,10219.219,10219.219,27031.965,5687.242,9337.422,5072,10240,119,84,1640,57,1262,60
2026-08-12T11:14:11.497546+00:00,285.344,29392,0,5,10,6398.539,10107.629,10107.629,10107.629,27076.961,5642.246,9340.137,5071,10240,119,84,1640,57,1262,60
2026-08-12T11:14:27.200306+00:00,301.016,29392,0,5,11,6453.555,10194.805,10194.805,10194.805,27232.02,5487.188,9340.137,5071,10240,119,84,1640,57,1262,60
2026-08-12T11:14:28.557703+00:00,302.391,29392,1,5,11,6487.535,10497.617,10497.617,10497.617,27245.957,5473.25,9340.137,5071,10240,119,84,1641,57,1262,60
2026-08-12T11:14:32.989215+00:00,306.828,29392,0,6,11,6372.824,10153.473,10153.473,10153.473,26908.254,5810.953,9340.137,5071,10240,119,84,1642,57,1262,60
2026-08-12T11:15:11.768609+00:00,345.609,29392,0,6,12,6384.906,10166.457,10166.457,10166.457,27199.258,5519.949,9336.609,5071,10240,119,84,1641,57,1262,60
2026-08-12T11:15:27.398098+00:00,361.25,29392,0,6,13,6410.898,10149.297,10149.297,10149.297,27194.316,5524.891,9336.605,5071,10240,119,84,1641,57,1262,60
2026-08-12T11:15:42.209283+00:00,376.047,29392,0,7,13,6428.742,10172.68,10172.68,10172.68,27182.965,5536.242,9336.574,5071,10240,119,84,1641,57,1262,60
2026-08-12T11:15:56.488319+00:00,390.344,29392,0,7,14,6429.422,10175.559,10175.559,10175.559,27348.324,5370.883,9335.0,5071,10240,119,84,1641,57,1262,60
2026-08-12T11:16:11.915278+00:00,405.766,29392,0,7,14,6422.484,10190.152,10190.152,10190.152,27061.582,5657.625,9420.555,5071,10240,119,84,1641,57,1262,60
2026-08-12T11:16:27.526330+00:00,421.375,29392,0,7,15,6434.586,10201.941,10201.941,10201.941,27279.223,5439.984,9420.539,5071,10240,119,84,1643,57,1262,60
2026-08-12T11:16:41.686168+00:00,435.516,29392,0,7,15,6420.527,10185.441,10185.441,10185.441,27744.191,4975.016,9420.531,5071,10240,119,84,1641,57,1262,60
2026-08-12T11:16:57.277749+00:00,451.125,29392,0,7,16,6420.488,10205.727,10205.727,10205.727,26975.539,5743.668,9420.527,5071,10240,119,84,1643,57,1262,60
2026-08-12T11:17:11.402233+00:00,465.25,29392,0,7,16,6424.754,10190.363,10190.363,10190.363,27312.742,5406.465,9412.617,5071,10240,119,84,1641,57,1262,60
2026-08-12T11:17:27.030189+00:00,480.875,29392,0,7,17,6423.293,10186.801,10186.801,10186.801,27535.883,5183.324,9412.605,5071,10240,119,84,1643,57,1262,60
2026-08-12T11:17:41.197034+00:00,495.031,29392,0,7,17,6425.68,10245.855,10245.855,10245.855,27589.035,5130.172,9412.105,5071,10240,119,84,1641,57,1262,60
2026-08-12T11:17:56.819026+00:00,510.656,29392,0,7,18,6430.793,10265.758,10265.758,10265.758,27276.562,5442.645,9412.098,5071,10240,119,84,1641,57,1262,60
2026-08-12T11:18:12.264971+00:00,526.109,29392,0,7,18,6445.359,10329.406,10329.406,10329.406,27632.289,5086.918,9412.098,5071,10240,119,84,1641,57,1262,60
2026-08-12T11:18:26.548993+00:00,540.391,29392,0,7,19,6428.66,10308.391,10308.391,10308.391,27308.203,5411.004,9406.094,5071,10240,119,84,1641,57,1262,60
2026-08-12T11:18:41.968465+00:00,555.812,29392,0,7,19,6443.516,10345.008,10345.008,10345.008,27357.855,5361.352,9406.051,5071,10240,119,83,1623,50,1262,60
2026-08-12T11:18:56.121325+00:00,569.953,29392,1,7,19,6555.055,10678.645,10678.645,10678.645,27603.789,5115.418,9389.676,5071,10240,119,83,1622,50,1262,60
2026-08-12T11:19:00.769988+00:00,574.625,29392,0,8,20,6462.703,10225.207,10225.207,10225.207,27981.812,4737.395,9387.367,5071,10240,119,83,1619,50,1262,60
2026-08-12T11:19:26.621257+00:00,600.453,29392,0,8,21,6455.602,10234.324,10234.324,10234.324,27974.191,4745.016,9387.363,5071,10240,119,83,1619,50,1262,60
2026-08-12T11:19:42.001867+00:00,615.844,29392,0,8,21,6425.723,10199.07,10199.07,10199.07,27470.887,5248.32,9387.348,5071,10240,119,83,1619,50,1262,60
2026-08-12T11:19:57.564464+00:00,631.406,29392,0,8,22,6447.902,10230.836,10230.836,10230.836,27495.555,5223.652,9387.348,5071,10240,119,83,1619,50,1262,60
2026-08-12T11:20:13.502600+00:00,647.344,29392,0,9,22,6447.184,10228.836,10228.836,10228.836,27844.797,4874.41,9387.336,5071,10240,119,83,1623,50,1262,60
2026-08-12T11:20:26.531488+00:00,660.375,29392,0,9,23,6442.715,10224.953,10224.953,10224.953,27602.766,5116.441,9387.332,5071,10240,119,83,1619,50,1262,60
2026-08-12T11:20:41.914077+00:00,675.75,29392,0,9,23,6434.855,10217.141,10217.141,10217.141,27668.914,5050.293,9387.309,5071,10240,119,83,1621,50,1262,60
2026-08-12T11:20:57.519106+00:00,691.359,29392,0,9,24,6453.668,10258.391,10258.391,10258.391,28149.512,4569.695,9381.969,5071,10240,119,83,1619,50,1262,60
2026-08-12T11:21:11.650532+00:00,705.5,29392,0,9,24,6445.492,10250.18,10250.18,10250.18,27630.137,5089.07,9381.969,5071,10240,119,83,1619,50,1262,60
2026-08-12T11:21:27.225106+00:00,721.062,29392,0,9,25,6450.207,10251.699,10251.699,10251.699,27578.258,5140.949,9366.164,5071,10240,119,83,1619,50,1262,60
2026-08-12T11:21:41.379983+00:00,735.219,29392,0,9,25,6425.137,10221.668,10221.668,10221.668,27604.262,5114.945,9366.16,5071,10240,119,83,1619,50,1262,60
2026-08-12T11:21:56.925148+00:00,750.781,29392,0,9,26,6450.57,10235.25,10235.25,10235.25,27871.371,4847.836,9366.156,5071,10240,119,83,1619,50,1262,60
