utc,elapsed_seconds,pid,paused,resumes,captures,rss_mib,vms_mib,private_mib,pagefile_mib,system_used_mib,system_available_mib,swap_used_mib,gpu_used_mib,gpu_total_mib,gdi_objects,user_objects,handles,threads,error_log_bytes,crash_directories
2026-08-12T12:07:12.711101+00:00,1.937,5936,1,0,1,5911.637,9151.41,9151.41,9151.41,28243.188,4476.02,10118.859,4742,10240,119,83,1638,56,995,60
2026-08-12T12:07:15.669234+00:00,5.125,5936,0,1,1,5970.695,9226.219,9226.219,9226.219,28264.387,4454.82,10118.859,4757,10240,119,83,1636,56,995,60
2026-08-12T12:07:51.609176+00:00,41.062,5936,0,1,1,6018.395,9247.715,9247.715,9247.715,28699.113,4020.094,10117.859,4737,10240,119,83,1636,56,995,60
2026-08-12T12:08:10.983703+00:00,60.437,5936,0,1,2,6029.008,9289.773,9289.773,9289.773,28892.039,3827.168,10117.824,4737,10240,119,83,1638,56,995,60
2026-08-12T12:09:25.246827+00:00,1.047,5936,0,0,3,6064.859,9336.582,9336.582,9336.582,29601.117,3118.09,10112.016,4737,10240,119,83,1635,56,995,60
2026-08-12T12:09:44.539565+00:00,20.5,5936,0,0,3,6062.867,9344.734,9344.734,9344.734,29876.312,2842.895,10111.996,4737,10240,119,83,1635,56,995,60
2026-08-12T12:10:05.076009+00:00,41.047,5936,0,0,3,6065.543,9333.23,9333.23,9333.23,28948.414,3770.793,10111.977,4737,10240,119,83,1635,56,995,60
2026-08-12T12:10:24.468457+00:00,60.437,5936,0,0,4,6076.305,9344.184,9344.184,9344.184,28910.918,3808.289,10111.965,4737,10240,119,83,1637,56,995,60
2026-08-12T12:10:44.925073+00:00,80.906,5936,0,0,4,6023.758,9386.879,9386.879,9386.879,28893.273,3825.934,10111.961,4737,10240,119,83,1637,56,995,60
2026-08-12T12:11:04.147971+00:00,100.125,5936,0,0,4,6016.785,9375.746,9375.746,9375.746,28980.891,3738.316,10111.938,4737,10240,119,83,1639,56,995,60
2026-08-12T12:11:24.847978+00:00,120.828,5936,0,0,5,6024.656,9386.277,9386.277,9386.277,28736.324,3982.883,10125.422,4737,10240,119,83,1635,56,995,60
2026-08-12T12:11:44.061856+00:00,140.031,5936,0,0,5,6006.879,9369.309,9369.309,9369.309,28753.16,3966.047,10125.422,4737,10240,119,83,1635,56,995,60
2026-08-12T12:12:04.651154+00:00,160.625,5936,0,0,5,5947.832,9403.898,9403.898,9403.898,28723.961,3995.246,10125.406,4737,10240,119,83,1639,56,995,60
2026-08-12T12:12:25.356094+00:00,181.328,5936,0,0,6,5961.371,9338.145,9338.145,9338.145,28740.422,3978.785,10125.406,4737,10240,119,83,1635,56,995,60
2026-08-12T12:12:44.578003+00:00,200.547,5936,0,0,6,5962.992,9377.082,9377.082,9377.082,28886.547,3832.66,10125.375,4737,10240,119,83,1635,56,995,60
2026-08-12T12:13:05.045053+00:00,221.0,5936,0,0,6,5962.789,9369.824,9369.824,9369.824,28789.418,3929.789,10125.371,4737,10240,119,83,1639,56,995,60
2026-08-12T12:13:24.487354+00:00,240.453,5936,0,0,7,5971.461,9298.922,9298.922,9298.922,28929.645,3789.562,10125.371,4737,10240,119,83,1639,56,995,60
2026-08-12T12:13:45.048730+00:00,261.016,5936,0,0,7,5953.383,9280.551,9280.551,9280.551,29550.652,3168.555,10122.539,4737,10240,119,83,1635,56,995,60
2026-08-12T12:14:04.257649+00:00,280.219,5936,0,0,7,5967.129,9373.941,9373.941,9373.941,29063.789,3655.418,10122.527,4737,10240,119,83,1637,56,995,60
2026-08-12T12:14:24.881825+00:00,300.859,5936,0,0,8,5964.098,9374.387,9374.387,9374.387,29023.434,3695.773,10122.516,4737,10240,119,83,1637,56,995,60
2026-08-12T12:14:44.054819+00:00,320.031,5936,0,0,8,5987.031,9389.656,9389.656,9389.656,29068.988,3650.219,10122.512,4737,10240,119,83,1637,56,995,60
2026-08-12T12:15:04.487450+00:00,340.469,5936,0,0,8,5959.242,9358.32,9358.32,9358.32,29143.871,3575.336,10122.492,4737,10240,119,83,1635,56,995,60
2026-08-12T12:15:25.100621+00:00,361.062,5936,0,0,9,5972.363,9383.52,9383.52,9383.52,29035.93,3683.277,10122.457,4737,10240,119,83,1635,56,995,60
2026-08-12T12:15:44.312552+00:00,380.281,5936,0,0,9,5963.086,9371.008,9371.008,9371.008,29062.703,3656.504,10122.457,4737,10240,119,83,1639,56,995,60
2026-08-12T12:16:04.826502+00:00,400.797,5936,0,0,9,5967.125,9369.723,9369.723,9369.723,29077.16,3642.047,10122.453,4737,10240,119,83,1635,56,995,60
2026-08-12T12:16:25.466566+00:00,421.437,5936,0,0,10,5954.258,9450.961,9450.961,9450.961,28775.27,3943.938,10111.191,4737,10240,119,83,1639,56,995,60
2026-08-12T12:16:44.667985+00:00,440.641,5936,0,0,10,5958.762,9357.645,9357.645,9357.645,28824.473,3894.734,10111.148,4737,10240,119,83,1635,56,995,60
2026-08-12T12:17:05.097641+00:00,461.062,5936,0,0,10,5966.254,9346.777,9346.777,9346.777,28849.426,3869.781,10111.148,4737,10240,119,83,1637,56,995,60
2026-08-12T12:17:24.465138+00:00,480.437,5936,0,0,11,5952.488,9378.461,9378.461,9378.461,28859.48,3859.727,10111.133,4737,10240,119,83,1635,56,995,60
2026-08-12T12:17:44.938671+00:00,500.906,5936,0,0,11,5963.074,9390.531,9390.531,9390.531,28932.746,3786.461,10111.121,4737,10240,119,83,1635,56,995,60
2026-08-12T12:18:04.128123+00:00,520.109,5936,0,0,11,5956.738,9361.277,9361.277,9361.277,28910.391,3808.816,10111.105,4737,10240,119,83,1637,56,995,60
2026-08-12T12:18:24.779206+00:00,540.75,5936,0,0,12,5969.895,9401.289,9401.289,9401.289,28805.105,3914.102,10111.059,4737,10240,119,83,1635,56,995,60
2026-08-12T12:18:45.267268+00:00,561.234,5936,0,0,12,5952.168,9378.895,9378.895,9378.895,28847.414,3871.793,10111.039,4737,10240,119,83,1635,56,995,60
2026-08-12T12:19:04.426356+00:00,580.391,5936,0,0,12,5957.887,9387.152,9387.152,9387.152,28947.035,3772.172,10111.035,4737,10240,119,83,1635,56,995,60
2026-08-12T12:19:46.677507+00:00,1.047,5936,0,0,13,5947.363,9304.086,9304.086,9304.086,28875.898,3843.309,10108.137,4737,10240,119,83,1637,56,995,60
2026-08-12T12:20:05.961754+00:00,20.485,5936,0,0,13,5963.055,9392.215,9392.215,9392.215,29363.105,3356.102,10108.105,4737,10240,119,83,1641,56,995,60
2026-08-12T12:20:26.438780+00:00,40.969,5936,0,0,13,5966.863,9345.855,9345.855,9345.855,28739.691,3979.516,10108.086,4737,10240,119,83,1635,56,995,60
2026-08-12T12:20:45.935485+00:00,60.469,5936,0,0,14,5989.082,9561.422,9561.422,9561.422,28808.188,3911.02,10108.078,4737,10240,119,83,1635,56,995,60
2026-08-12T12:21:06.432998+00:00,80.969,5936,0,0,14,5992.582,9416.617,9416.617,9416.617,28818.41,3900.797,10108.066,4737,10240,119,83,1637,56,995,60
2026-08-12T12:21:25.637957+00:00,100.157,5936,0,0,14,5993.562,9416.312,9416.312,9416.312,28804.16,3915.047,10107.934,4737,10240,119,83,1639,56,995,60
2026-08-12T12:21:46.318458+00:00,120.86,5936,0,0,15,5977.242,9323.508,9323.508,9323.508,28813.688,3905.52,10107.922,4737,10240,119,83,1635,56,995,60
2026-08-12T12:22:05.515425+00:00,140.032,5936,0,0,15,5974.254,9319.941,9319.941,9319.941,28799.105,3920.102,10107.918,4737,10240,119,83,1639,56,995,60
2026-08-12T12:22:25.995012+00:00,160.532,5936,0,0,15,5967.258,9365.184,9365.184,9365.184,28893.094,3826.113,10107.879,4737,10240,119,83,1637,56,995,60
2026-08-12T12:22:46.697953+00:00,181.219,5936,0,0,16,5995.293,9416.938,9416.938,9416.938,28944.938,3774.27,10107.844,4737,10240,119,83,1635,56,995,60
2026-08-12T12:23:05.847497+00:00,200.375,5936,0,0,16,5978.18,9372.875,9372.875,9372.875,28884.906,3834.301,10107.84,4737,10240,119,83,1639,56,995,60
2026-08-12T12:23:26.345970+00:00,220.875,5936,0,0,16,5980.172,9404.879,9404.879,9404.879,28798.422,3920.785,10107.828,4737,10240,119,83,1635,56,995,60
2026-08-12T12:23:45.712992+00:00,240.25,5936,0,0,17,5985.738,9388.699,9388.699,9388.699,28845.875,3873.332,10107.785,4737,10240,119,83,1635,56,995,60
2026-08-12T12:24:06.199581+00:00,260.735,5936,0,0,17,6001.461,9421.41,9421.41,9421.41,28957.367,3761.84,10107.773,4737,10240,119,83,1639,56,995,60
2026-08-12T12:24:26.728537+00:00,281.266,5936,0,0,17,5979.508,9393.633,9393.633,9393.633,28969.801,3749.406,10105.098,4737,10240,119,83,1635,56,995,60
2026-08-12T12:24:46.113006+00:00,300.641,5936,0,0,18,5987.504,9410.215,9410.215,9410.215,28992.098,3727.109,10105.066,4737,10240,119,83,1619,50,995,60
2026-08-12T12:25:06.669142+00:00,321.204,5936,0,0,18,5999.094,9544.09,9544.09,9544.09,29114.516,3604.691,10105.008,4737,10240,119,83,1617,50,995,60
2026-08-12T12:25:25.878066+00:00,340.391,5936,0,0,18,6043.277,9507.637,9507.637,9507.637,29023.098,3696.109,10104.996,4737,10240,119,83,1615,50,995,60
2026-08-12T12:25:46.518693+00:00,361.047,5936,0,0,19,5984.547,9367.445,9367.445,9367.445,29031.906,3687.301,10104.98,4737,10240,119,83,1615,50,995,60
2026-08-12T12:26:05.709160+00:00,380.235,5936,0,0,19,5977.047,9362.445,9362.445,9362.445,29318.977,3400.23,10057.688,4737,10240,119,83,1615,50,995,60
2026-08-12T12:26:26.171763+00:00,400.719,5936,0,0,19,5969.254,9353.66,9353.66,9353.66,29259.922,3459.285,10087.445,4737,10240,119,83,1615,50,995,60
2026-08-12T12:26:46.803385+00:00,421.329,5936,0,0,20,5969.305,9352.762,9352.762,9352.762,29255.336,3463.871,10087.426,4737,10240,119,83,1615,50,995,60
2026-08-12T12:27:06.042729+00:00,440.579,5936,0,0,20,5983.109,9361.477,9361.477,9361.477,29315.789,3403.418,10087.41,4737,10240,119,83,1615,50,995,60
2026-08-12T12:27:26.524243+00:00,461.063,5936,0,0,20,5986.152,9365.465,9365.465,9365.465,29249.477,3469.73,10087.398,4737,10240,119,83,1615,50,995,60
2026-08-12T12:27:45.929200+00:00,480.469,5936,0,0,21,5987.512,9313.031,9313.031,9313.031,29328.453,3390.754,10087.375,4737,10240,119,83,1617,50,995,60
2026-08-12T12:28:06.442187+00:00,500.985,5936,0,0,21,5988.117,9319.105,9319.105,9319.105,29302.395,3416.812,10087.242,4737,10240,119,83,1617,50,995,60
2026-08-12T12:28:25.706952+00:00,520.235,5936,0,0,21,5984.434,9362.164,9362.164,9362.164,29380.938,3338.27,10087.227,4737,10240,119,83,1615,50,995,60
2026-08-12T12:28:46.421399+00:00,540.954,5936,0,0,22,5965.891,9340.633,9340.633,9340.633,28955.566,3763.641,10087.227,4737,10240,119,83,1617,50,995,60
2026-08-12T12:29:05.621370+00:00,560.157,5936,0,0,22,6015.195,9414.984,9414.984,9414.984,29028.527,3690.68,10087.227,4737,10240,119,83,1615,50,995,60
2026-08-12T12:29:26.083906+00:00,580.61,5936,0,0,22,6088.422,9798.859,9798.859,9798.859,29035.762,3683.445,10087.227,4737,10240,119,83,1619,50,995,60
2026-08-12T12:30:41.867861+00:00,1.031,5936,0,0,23,6026.051,9428.176,9428.176,9428.176,29045.848,3673.359,10084.543,4737,10240,119,83,1619,50,995,60
2026-08-12T12:31:11.358964+00:00,30.687,5936,0,0,23,6024.055,9432.426,9432.426,9432.426,28980.945,3738.262,10084.539,4737,10240,119,83,1617,50,995,60
2026-08-12T12:31:40.812080+00:00,60.14,5936,0,0,23,6018.227,9423.055,9423.055,9423.055,29011.148,3708.059,10084.355,4737,10240,119,83,1617,50,995,60
2026-08-12T12:32:11.683560+00:00,91.015,5936,0,0,24,6025.043,9399.926,9399.926,9399.926,29310.215,3408.992,10082.305,4737,10240,119,83,1619,50,995,60
2026-08-12T12:32:41.112279+00:00,120.437,5936,0,0,24,6010.957,9406.051,9406.051,9406.051,29192.574,3526.633,10082.266,4737,10240,119,83,1617,50,995,60
2026-08-12T12:33:11.807696+00:00,151.14,5936,0,0,24,6047.535,9452.508,9452.508,9452.508,29105.504,3613.703,10082.129,4737,10240,119,83,1615,50,995,60
2026-08-12T12:33:41.416963+00:00,180.734,5936,0,0,25,6033.098,9434.379,9434.379,9434.379,29076.5,3642.707,10082.023,4737,10240,119,83,1617,50,995,60
2026-08-12T12:34:10.825774+00:00,210.156,5936,0,0,25,6052.094,9620.16,9620.16,9620.16,29178.582,3540.625,10082.008,4737,10240,119,83,1617,50,995,60
2026-08-12T12:34:41.538556+00:00,240.875,5936,0,0,25,6012.145,9400.355,9400.355,9400.355,29045.324,3673.883,10081.68,4737,10240,119,83,1615,50,995,60
2026-08-12T12:35:11.123877+00:00,270.453,5936,0,0,26,6007.039,9344.332,9344.332,9344.332,29367.531,3351.676,10079.129,4737,10240,119,83,1609,48,995,60
2026-08-12T12:35:41.856158+00:00,301.187,5936,0,0,26,6007.949,9394.387,9394.387,9394.387,29252.059,3467.148,10079.117,4737,10240,119,83,1607,48,995,60
2026-08-12T12:36:11.309379+00:00,330.625,5936,0,0,26,6016.805,9400.316,9400.316,9400.316,29384.0,3335.207,10079.074,4737,10240,119,83,1609,48,995,60
2026-08-12T12:36:40.959545+00:00,360.296,5936,0,0,27,6010.812,9397.625,9397.625,9397.625,29340.672,3378.535,10036.43,4737,10240,119,83,1609,48,995,60
2026-08-12T12:37:11.616470+00:00,390.937,5936,0,0,27,6018.68,9401.812,9401.812,9401.812,29327.504,3391.703,10036.426,4737,10240,119,83,1609,48,995,60
2026-08-12T12:37:41.069683+00:00,420.406,5936,0,0,27,6010.82,9393.238,9393.238,9393.238,29578.207,3141.0,10031.336,4737,10240,119,83,1607,48,995,60
2026-08-12T12:38:11.940557+00:00,451.281,5936,0,0,28,6014.531,9398.254,9398.254,9398.254,29444.254,3274.953,10004.25,4737,10240,119,83,1609,48,995,60
2026-08-12T12:38:41.352421+00:00,480.687,5936,0,0,28,6036.23,9539.66,9539.66,9539.66,29652.629,3066.578,9977.434,4737,10240,119,83,1613,48,995,60
2026-08-12T12:39:10.804693+00:00,510.14,5936,0,0,28,6037.383,9437.988,9437.988,9437.988,29390.207,3329.0,9977.301,4737,10240,119,83,1607,48,995,60
2026-08-12T12:39:41.703035+00:00,541.031,5936,0,0,29,6037.137,9433.621,9433.621,9433.621,30011.84,2707.367,9974.129,4737,10240,119,83,1609,48,995,60
2026-08-12T12:40:11.171248+00:00,570.5,5936,0,0,29,6029.723,9426.109,9426.109,9426.109,29684.113,3035.094,9974.125,4737,10240,119,83,1524,48,995,60
2026-08-12T12:40:41.828265+00:00,601.156,5936,0,0,29,6038.648,9435.68,9435.68,9435.68,29720.344,2998.863,9974.035,4737,10240,119,83,1520,48,995,60
2026-08-12T12:41:11.408557+00:00,630.734,5936,0,0,30,6036.922,9434.816,9434.816,9434.816,29695.551,3023.656,9974.02,4737,10240,119,83,1520,48,995,60
2026-08-12T12:41:40.811387+00:00,660.14,5936,0,0,30,6025.613,9427.059,9427.059,9427.059,29714.355,3004.852,9973.984,4737,10240,119,83,1520,48,995,60
2026-08-12T12:42:11.498296+00:00,690.828,5936,0,0,30,6033.359,9436.992,9436.992,9436.992,29700.777,3018.43,9973.945,4737,10240,119,83,1524,48,995,60
2026-08-12T12:42:41.067203+00:00,720.406,5936,0,0,31,6028.004,9424.184,9424.184,9424.184,29943.301,2775.906,9945.477,4737,10240,119,83,1520,48,995,60
2026-08-12T12:43:11.770581+00:00,751.093,5936,0,0,31,6047.551,9426.648,9426.648,9426.648,29883.484,2835.723,9945.332,4737,10240,119,83,1520,48,995,60
2026-08-12T12:43:41.137974+00:00,780.453,5936,0,0,31,6028.453,9413.125,9413.125,9413.125,29810.66,2908.547,9945.297,4737,10240,119,83,1520,48,995,60
2026-08-12T12:44:12.113154+00:00,811.437,5936,0,0,32,6050.777,9441.082,9441.082,9441.082,30599.359,2119.848,9288.57,4737,10240,119,83,1518,48,995,60
2026-08-12T12:44:41.676123+00:00,841.0,5936,0,0,32,6052.234,9435.09,9435.09,9435.09,30419.566,2299.641,9288.559,4737,10240,119,83,1522,48,995,60
2026-08-12T12:45:11.137792+00:00,870.453,5936,0,0,32,6054.094,9426.887,9426.887,9426.887,30391.383,2327.824,9288.551,4737,10240,119,83,1520,48,995,60
2026-08-12T12:45:42.088981+00:00,901.421,5936,0,0,33,6051.379,9419.965,9419.965,9419.965,30516.734,2202.473,9285.316,4737,10240,119,83,1520,48,995,60
2026-08-12T12:46:11.547181+00:00,930.875,5936,0,0,33,6061.012,9435.062,9435.062,9435.062,30451.211,2267.996,9285.309,4737,10240,119,83,1518,48,995,60
2026-08-12T12:46:40.994379+00:00,960.328,5936,0,0,33,6030.188,9402.062,9402.062,9402.062,30453.77,2265.438,9285.301,4737,10240,119,83,1520,48,995,60
2026-08-12T12:47:11.912703+00:00,991.234,5936,0,0,34,6031.266,9385.164,9385.164,9385.164,30439.734,2279.473,9285.293,4737,10240,119,83,1520,48,995,60
2026-08-12T12:47:41.451848+00:00,1020.781,5936,0,0,34,6082.82,9477.855,9477.855,9477.855,30875.34,1843.867,9285.27,4737,10240,119,83,1518,48,995,60
2026-08-12T12:48:10.881121+00:00,1050.203,5936,0,0,34,6078.121,9466.609,9466.609,9466.609,30561.773,2157.434,9285.266,4737,10240,119,83,1520,48,995,60
2026-08-12T12:48:41.820379+00:00,1081.14,5936,0,0,35,6073.668,9471.07,9471.07,9471.07,30733.91,1985.297,9285.207,4737,10240,119,83,1518,48,995,60
