utc,elapsed_seconds,pid,paused,resumes,captures,rss_mib,vms_mib,private_mib,pagefile_mib,system_used_mib,system_available_mib,swap_used_mib,gpu_used_mib,gpu_total_mib,gdi_objects,user_objects,handles,threads,error_log_bytes,crash_directories
2026-08-12T14:05:50.177730+00:00,1.109,18612,1,0,1,4113.68,9137.582,9137.582,9137.582,31869.793,849.414,9835.906,4529,10240,119,83,1630,56,995,60
2026-08-12T14:05:53.231138+00:00,5.093,18612,0,1,1,4118.184,9143.406,9143.406,9143.406,31918.867,800.34,9835.57,4544,10240,119,83,1631,56,995,60
2026-08-12T14:06:48.895457+00:00,60.765,18612,0,1,1,4204.305,9218.996,9218.996,9218.996,31587.09,1132.117,9834.68,4544,10240,119,83,1630,56,995,60
2026-08-12T14:07:18.739059+00:00,90.609,18612,0,1,1,4198.5,9208.008,9208.008,9208.008,31854.121,865.086,9833.129,4544,10240,119,83,1630,56,995,60
2026-08-12T14:07:48.909716+00:00,120.75,18612,0,1,2,4232.289,9272.109,9272.109,9272.109,31939.203,780.004,9833.438,4516,10240,119,83,1634,56,995,60
2026-08-12T14:08:18.783451+00:00,150.625,18612,0,1,2,4240.895,9243.68,9243.68,9243.68,31800.68,918.527,9832.535,4516,10240,119,83,1630,56,995,60
2026-08-12T14:08:48.469339+00:00,180.343,18612,0,1,2,4248.824,9280.922,9280.922,9280.922,31763.906,955.301,9832.383,4516,10240,119,83,1630,56,995,60
2026-08-12T14:09:18.233366+00:00,210.109,18612,0,1,2,4263.406,9297.359,9297.359,9297.359,31675.27,1043.938,9832.367,4516,10240,119,83,1632,56,995,60
2026-08-12T14:09:49.582273+00:00,241.453,18612,0,1,3,4263.738,9298.891,9298.891,9298.891,31484.105,1235.102,9831.82,4516,10240,119,83,1632,56,995,60
2026-08-12T14:10:18.118625+00:00,270.0,18612,0,1,3,4258.492,9289.887,9289.887,9289.887,31877.508,841.699,9816.125,4516,10240,119,83,1630,56,995,60
2026-08-12T14:10:49.252196+00:00,301.125,18612,0,1,3,4297.648,9300.668,9300.668,9300.668,31728.641,990.566,9811.332,4516,10240,119,83,1630,56,995,60
2026-08-12T14:11:18.929225+00:00,330.812,18612,0,1,3,4296.297,9295.355,9295.355,9295.355,31746.184,973.023,9808.246,4516,10240,119,83,1630,56,995,60
2026-08-12T14:11:49.029269+00:00,360.875,18612,0,1,4,3070.504,9321.305,9321.305,9321.305,29752.207,2967.0,9830.559,4516,10240,119,83,1632,56,995,60
2026-08-12T14:12:18.768665+00:00,390.64,18612,0,1,4,3077.312,9364.695,9364.695,9364.695,29566.781,3152.426,9830.43,4516,10240,119,83,1632,56,995,60
2026-08-12T14:12:48.666716+00:00,420.531,18612,0,1,4,3077.766,9356.105,9356.105,9356.105,16455.828,16263.379,9707.031,4245,10240,124,83,1632,57,995,60
2026-08-12T14:13:19.247373+00:00,451.125,18612,0,1,4,3074.812,9355.688,9355.688,9355.688,16387.359,16331.848,9668.461,4241,10240,124,83,1632,57,995,60
2026-08-12T14:13:48.765941+00:00,480.64,18612,0,1,5,3082.895,9359.156,9359.156,9359.156,16518.906,16200.301,9557.562,4241,10240,124,83,1636,56,995,60
2026-08-12T14:14:18.115337+00:00,510.0,18612,0,1,5,3074.312,9347.531,9347.531,9347.531,16502.82,16216.387,9557.555,4241,10240,124,83,1636,56,995,60
2026-08-12T14:14:48.753880+00:00,540.625,18612,0,1,5,3076.168,9351.906,9351.906,9351.906,16639.609,16079.598,9537.801,4241,10240,124,83,1632,56,995,60
2026-08-12T14:15:19.357982+00:00,571.25,18612,0,1,5,3081.684,9352.395,9352.395,9352.395,16594.734,16124.473,9537.797,4241,10240,124,83,1634,56,995,60
2026-08-12T14:15:48.909917+00:00,600.781,18612,0,1,6,3076.773,9372.254,9372.254,9372.254,16667.566,16051.641,9537.777,4241,10240,124,83,1632,56,995,60
2026-08-12T14:16:18.221973+00:00,630.093,18612,0,1,6,3069.57,9364.629,9364.629,9364.629,16551.906,16167.301,9537.371,4241,10240,124,83,1634,56,995,60
2026-08-12T14:16:48.839567+00:00,660.718,18612,0,1,6,3069.016,9364.191,9364.191,9364.191,16721.461,15997.746,9536.414,4241,10240,124,83,1632,56,995,60
2026-08-12T14:17:18.195956+00:00,690.078,18612,0,1,6,3084.715,9382.703,9382.703,9382.703,16634.531,16084.676,9536.402,4241,10240,124,83,1632,56,995,60
2026-08-12T14:18:12.686007+00:00,1.031,18612,0,0,7,3086.246,9355.332,9355.332,9355.332,16653.086,16066.121,9534.934,4241,10240,124,83,1640,56,995,60
2026-08-12T14:18:42.093284+00:00,30.609,18612,0,0,7,3084.09,9323.691,9323.691,9323.691,16704.156,16015.051,9534.727,4241,10240,124,83,1632,56,995,60
2026-08-12T14:19:12.729803+00:00,61.25,18612,0,0,7,3084.363,9323.879,9323.879,9323.879,16672.836,16046.371,9534.605,4241,10240,124,83,1632,56,995,60
2026-08-12T14:19:42.133630+00:00,90.656,18612,0,0,7,3075.328,9312.941,9312.941,9312.941,16980.086,15739.121,9532.859,4241,10240,124,83,1632,56,995,60
2026-08-12T14:20:11.733418+00:00,120.25,18612,0,0,8,3096.176,9333.965,9333.965,9333.965,16948.883,15770.324,9532.828,4241,10240,124,83,1634,56,995,60
2026-08-12T14:20:42.429247+00:00,150.938,18612,0,0,8,3090.59,9331.465,9331.465,9331.465,16960.316,15758.891,9531.02,4241,10240,124,83,1632,56,995,60
2026-08-12T14:21:11.817587+00:00,180.344,18612,0,0,8,3089.793,9331.027,9331.027,9331.027,16999.02,15720.188,9531.004,4241,10240,124,83,1632,56,995,60
2026-08-12T14:21:42.469602+00:00,210.984,18612,0,0,8,1635.594,9326.715,9326.715,9326.715,15456.293,17262.914,9566.855,4241,10240,124,83,1636,56,995,60
2026-08-12T14:22:12.021483+00:00,240.547,18612,0,0,9,1623.172,9309.777,9309.777,9309.777,15403.617,17315.59,9566.789,4241,10240,124,83,1632,56,995,60
2026-08-12T14:22:42.735325+00:00,271.25,18612,0,0,9,1626.773,9312.703,9312.703,9312.703,15447.461,17271.746,9566.508,4241,10240,124,82,1614,50,995,60
2026-08-12T14:23:12.152621+00:00,300.656,18612,0,0,9,1627.262,9311.703,9311.703,9311.703,15733.859,16985.348,9565.578,4241,10240,124,82,1616,50,995,60
2026-08-12T14:23:41.620258+00:00,330.141,18612,0,0,9,1630.758,9312.566,9312.566,9312.566,15622.965,17096.242,9565.473,4241,10240,124,82,1616,50,995,60
2026-08-12T14:24:12.453274+00:00,360.969,18612,0,0,10,1624.426,9302.879,9302.879,9302.879,15605.426,17113.781,9565.395,4241,10240,124,82,1618,50,995,60
2026-08-12T14:24:41.832607+00:00,390.344,18612,0,0,10,1626.898,9304.941,9304.941,9304.941,15648.117,17071.09,9565.371,4241,10240,124,82,1614,50,995,60
2026-08-12T14:25:12.550898+00:00,421.063,18612,0,0,10,1712.422,9485.91,9485.91,9485.91,15684.719,17034.488,9563.238,4241,10240,124,82,1614,50,995,60
2026-08-12T14:25:41.905339+00:00,450.422,18612,0,0,10,1707.805,9479.723,9479.723,9479.723,15696.18,17023.027,9562.762,4241,10240,124,82,1614,50,995,60
2026-08-12T14:26:12.729347+00:00,481.25,18612,0,0,11,1708.34,9481.723,9481.723,9481.723,15689.234,17029.973,9561.121,4241,10240,124,82,1614,50,995,60
2026-08-12T14:26:42.071297+00:00,510.578,18612,0,0,11,1720.406,9493.797,9493.797,9493.797,15788.938,16930.27,9561.09,4241,10240,124,82,1614,50,995,60
2026-08-12T14:27:12.686329+00:00,541.219,18612,0,0,11,1713.188,9486.168,9486.168,9486.168,15741.109,16978.098,9560.941,4241,10240,124,82,1616,50,995,60
2026-08-12T14:27:42.057256+00:00,570.578,18612,0,0,11,1709.398,9483.043,9483.043,9483.043,15747.848,16971.359,9560.898,4241,10240,124,82,1614,50,995,60
2026-08-12T14:28:12.855852+00:00,601.375,18612,0,0,12,1714.477,9370.738,9370.738,9370.738,15985.801,16733.406,9560.75,4241,10240,124,82,1618,50,995,60
2026-08-12T14:28:42.240258+00:00,630.766,18612,0,0,12,1702.215,9354.727,9354.727,9354.727,16006.008,16713.199,9506.91,4241,10240,124,82,1614,50,995,60
2026-08-12T14:29:11.677495+00:00,660.203,18612,0,0,12,1703.18,9357.289,9357.289,9357.289,15888.172,16831.035,9506.867,4241,10240,124,82,1614,50,995,60
2026-08-12T14:29:42.344990+00:00,690.875,18612,0,0,12,1747.402,9381.863,9381.863,9381.863,15973.609,16745.598,9506.855,4241,10240,124,82,1614,50,995,60
