utc,elapsed_seconds,pid,paused,resumes,captures,rss_mib,vms_mib,private_mib,pagefile_mib,system_used_mib,system_available_mib,swap_used_mib,gpu_used_mib,gpu_total_mib,gdi_objects,user_objects,handles,threads,error_log_bytes,crash_directories
2026-08-12T17:03:22.684329+00:00,1.937,17180,1,0,1,6079.652,9172.965,9172.965,9172.965,21537.531,11181.676,8819.055,4600,10240,119,84,1638,56,995,60
2026-08-12T17:03:25.638484+00:00,5.234,17180,0,1,1,6123.422,9223.988,9223.988,9223.988,21442.91,11276.297,8819.055,4613,10240,119,84,1636,56,995,60
2026-08-12T17:04:20.551506+00:00,60.141,17180,0,1,1,5985.391,9313.789,9313.789,9313.789,21219.543,11499.664,8819.039,4620,10240,119,84,1636,56,995,60
2026-08-12T17:04:51.149726+00:00,90.75,17180,0,1,1,6054.062,9357.391,9357.391,9357.391,21266.906,11452.301,8819.031,4609,10240,119,84,1636,56,995,60
2026-08-12T17:05:20.564547+00:00,120.156,17180,0,1,1,6019.68,9316.941,9316.941,9316.941,21210.035,11509.172,8819.031,4620,10240,119,84,1636,56,995,60
2026-08-12T17:05:51.205092+00:00,150.812,17180,0,1,1,6043.062,9369.953,9369.953,9369.953,21437.281,11281.926,8819.031,4609,10240,119,84,1635,56,995,60
2026-08-12T17:06:20.773492+00:00,180.375,17180,0,1,2,6038.34,9334.691,9334.691,9334.691,21242.617,11476.59,8819.031,4624,10240,119,84,1637,56,995,60
2026-08-12T17:06:51.381175+00:00,210.984,17180,0,1,2,6024.848,9359.203,9359.203,9359.203,21216.98,11502.227,8818.965,4581,10240,119,84,1635,56,995,60
2026-08-12T17:07:20.721671+00:00,240.328,17180,0,1,2,6005.469,9320.441,9320.441,9320.441,21111.48,11607.727,8818.961,4595,10240,119,84,1637,56,995,60
2026-08-12T17:07:51.329804+00:00,270.922,17180,0,1,2,6001.516,9339.383,9339.383,9339.383,21342.961,11376.246,8817.836,4587,10240,119,84,1635,56,995,60
2026-08-12T17:08:20.748089+00:00,300.344,17180,0,1,2,5973.797,9551.582,9551.582,9551.582,21110.793,11608.414,8817.105,4596,10240,119,84,1637,56,995,60
2026-08-12T17:08:51.348686+00:00,330.953,17180,0,1,2,5977.629,9557.246,9557.246,9557.246,21164.652,11554.555,8817.094,4581,10240,119,84,1635,56,995,60
2026-08-12T17:09:20.890107+00:00,360.484,17180,0,1,3,5934.586,9349.664,9349.664,9349.664,21220.398,11498.809,8817.094,4597,10240,119,84,1635,56,995,60
