goods_key	total_supply	total_demand	total_pop_demand	nobles_demand	clergy_demand	burghers_demand	laborers_demand	soldiers_demand	peasants_demand	tribesmen_demand	slaves_demand
antq_amber_ornaments	0	0	0	0	0	0	0	0	0	0	0
antq_barley	0	0	0	0	0	0	0	0	0	0	0
antq_bound_codices	0	0	0	0	0	0	0	0	0	0	0
antq_bronze_wares	1.81445	7.861	7.861	1.84568	1.51753	1.08004	0.2987	0.00275	2.58856	0.52774	0
antq_cage_glass	0	0	0	0	0	0	0	0	0	0	0
antq_camels	0	0	0	0	0	0	0	0	0	0	0
antq_carpets	2.15932	22.40817	22.40817	6.05443	3.99229	2.26092	0.75913	0.00705	6.24744	3.08691	0
antq_cheese_curds	1.51007	7.83033	7.83033	0.27538	0.19253	0.1803	0.37952	0.00759	6.04339	0.75162	0
antq_coconut_products	0	0	0	0	0	0	0	0	0	0	0
antq_coconuts	0	3.22234	0	0	0	0	0	0	0	0	0
antq_cordage	99.38232	127.02689	107.27226	4.00505	5.37707	5.3995	6.50862	0.05829	67.41999	18.50374	0
antq_cured_meat	8.11673	41.89521	41.47946	1.96952	1.21758	0.67617	2.73625	0.02212	26.34507	8.51275	0
antq_dates	0	2.99932	0	0	0	0	0	0	0	0	0
antq_dried_fruit	0	0	0	0	0	0	0	0	0	0	0
antq_felt_goods	5.19295	21.11294	21.11294	1.0527	1.25373	1.86566	1.93811	0.0251	10.14252	4.83512	0
antq_fine_ceramics	10.09075	30.78026	30.15204	7.89597	4.92997	3.89063	1.05019	0.00838	10.46329	1.91361	0
antq_garnet_cloisonne	0	0	0	0	0	0	0	0	0	0	0
antq_glass_beads	0	0	0	0	0	0	0	0	0	0	0
antq_glasswares	0.3351	6.36932	6.36932	1.67198	1.31147	1.61666	0.22757	0.00291	0.86549	0.67324	0
antq_grain_products	123.93757	316.67945	315.5412	3.99571	5.16265	2.74818	22.97854	0.22481	215.02639	65.40492	0
antq_iron_hardware	81.81398	108.91609	98.18157	9.45428	10.3927	7.91003	5.22284	0.04448	50.53924	14.618	0
antq_jade	0	0	0	0	0	0	0	0	0	0	0
antq_lacquerware	0	0	0	0	0	0	0	0	0	0	0
antq_lead_wares	0.15257	0	0	0	0	0	0	0	0	0	0
antq_leather_goods	17.09845	88.38364	88.34249	6.5921	6.54922	5.38056	5.66042	0.05475	45.72139	18.38405	0
antq_naphtha	0	0	0	0	0	0	0	0	0	0	0
antq_nut_pastes	0	0	0	0	0	0	0	0	0	0	0
antq_olive_oil	0	0	0	0	0	0	0	0	0	0	0
antq_papyrus	0	15.80359	0	0	0	0	0	0	0	0	0
antq_parchment	0	1.46464	1.46464	0.2648	0.76306	0.17813	0.01307	0.00017	0.21609	0.02932	0
antq_perfumes	0	0	0	0	0	0	0	0	0	0	0
antq_preserved_fish	5.69994	35.8637	35.8637	2.43257	2.07623	1.57457	2.56941	0.03029	16.06848	11.11215	0
antq_rice_wine	1.64413	4.6977	4.6977	0.67711	0.44166	0.07294	0.30841	0.00086	2.43769	0.75903	0
antq_sailcloth	2.2479	3.49066	2.70419	0.28668	0.32356	0.37515	0.0945	0.00099	1.192	0.43131	0
antq_sesame	0	6.33777	0	0	0	0	0	0	0	0	0
antq_sesame_oil	0	0	0	0	0	0	0	0	0	0	0
antq_silphium	0	0	0	0	0	0	0	0	0	0	0
antq_soap	0	0	0	0	0	0	0	0	0	0	0
antq_soy_condiments	1.40403	0.82059	0.82059	0.02575	0.02064	0.00712	0.12842	0.00013	0.08038	0.55815	0
antq_tree_nuts	0	5.75643	0	0	0	0	0	0	0	0	0
antq_wax_goods	0.76935	4.50991	4.50991	0.57381	1.3245	0.85967	0.2996	0.00295	0.60743	0.84195	0
antq_yue_celadon	0	0	0	0	0	0	0	0	0	0	0
horses	423.91707	225.49659	206.90565	206.90565	0	0	0	0	0	0	0
clay	3535.30578	336.49437	0	0	0	0	0	0	0	0	0
sand	1756.71426	13.77705	0	0	0	0	0	0	0	0	0
coal	78.34978	4.83181	0	0	0	0	0	0	0	0	0
iron	420.19907	208.12822	0	0	0	0	0	0	0	0	0
copper	160.3545	6.07784	0	0	0	0	0	0	0	0	0
goods_gold	140.50208	23.63357	15.55003	15.55003	0	0	0	0	0	0	0
silver	110.33037	16.17546	13.91847	13.91847	0	0	0	0	0	0	0
stone	2216.37732	42.33924	0	0	0	0	0	0	0	0	0
tin	79.29549	1.15031	0	0	0	0	0	0	0	0	0
lead	98.86637	1.66666	0	0	0	0	0	0	0	0	0
silk	236.42341	7.625	0	0	0	0	0	0	0	0	0
dyes	178.33111	83.71556	0	0	0	0	0	0	0	0	0
incense	73.1648	31.5243	6.02031	0	6.02031	0	0	0	0	0	0
tea	125.27102	61.00269	58.93049	53.45481	4.79272	0.68296	0	0	0	0	0
cocoa	21.54931	3.94547	3.94547	3.25208	0.56085	0.13254	0	0	0	0	0
coffee	15.20903	0.45656	0.45656	0.40829	0.02999	0.01828	0	0	0	0	0
fiber_crops	413.65934	104.09424	0	0	0	0	0	0	0	0	0
ivory	27.03509	0.3989	0	0	0	0	0	0	0	0	0
lumber	2653.12734	271.70026	0	0	0	0	0	0	0	0	0
salt	418.69368	73.57411	59.81103	32.1877	20.9945	6.62883	0	0	0	0	0
medicaments	212.77274	7.3454	4.11988	1.58549	1.32656	0.24223	0.59184	0.00126	0.3725	0	0
gems	125.13922	43.64439	27.55246	27.55246	0	0	0	0	0	0	0
pearls	95.73657	1.00238	0	0	0	0	0	0	0	0	0
amber	26.29811	22.37821	21.31838	20.67778	0	0.6406	0	0	0	0	0
saltpeter	51.44863	0	0	0	0	0	0	0	0	0	0
alum	88.57333	0.01632	0	0	0	0	0	0	0	0	0
wine	355.74574	52.33618	50.73643	3.84429	4.21551	1.37134	3.70919	0.02905	37.56705	0	0
elephants	121.30799	0	0	0	0	0	0	0	0	0	0
marble	113.16505	9.25162	0	0	0	0	0	0	0	0	0
mercury	32.58644	0.14063	0.09784	0.00307	0.01074	0.00582	0.04742	0	0.03079	0	0
saffron	110.43384	104.3446	19.79786	16.77541	2.59231	0.43014	0	0	0	0	0
pepper	126.21446	34.69999	25.92542	21.80085	3.76658	0.35799	0	0	0	0	0
cloves	35.38536	9.95618	0.73842	0.63077	0.09811	0.00954	0	0	0	0	0
chili	19.82017	3.14291	3.14291	2.65982	0.43587	0.04722	0	0	0	0	0
wool	857.80029	47.07498	0	0	0	0	0	0	0	0	0
cotton	601.43147	9.6985	0	0	0	0	0	0	0	0	0
sugar	188.19904	51.52267	41.88095	34.73643	5.67523	1.46929	0	0	0	0	0
tobacco	8.31402	1.97066	1.97066	1.62506	0.27944	0.06616	0	0	0	0	0
tar	76.32716	43.02314	0	0	0	0	0	0	0	0	0
porcelain	0	0	0	0	0	0	0	0	0	0	0
naval_supplies	43.84126	1.1175	0	0	0	0	0	0	0	0	0
firearms	0	0	0	0	0	0	0	0	0	0	0
cannons	0	0	0	0	0	0	0	0	0	0	0
weaponry	10.52116	32.0813	30.65087	30.52608	0	0	0.05411	0.00197	0.06871	0	0
glass	1.34777	2.9641	0	0	0	0	0	0	0	0	0
steel	0	0	0	0	0	0	0	0	0	0	0
cloth	71.15016	77.74505	53.61315	0	39.33318	7.63323	2.44632	0.04565	4.15477	0	0
fine_cloth	8.66038	3.56518	0	0	0	0	0	0	0	0	0
liquor	0	0	0	0	0	0	0	0	0	0	0
beer	78.41402	64.08379	58.51489	14.57357	24.13462	7.92172	7.24688	0.07389	4.56421	0	0
paper	0	0.79	0	0	0	0	0	0	0	0	0
books	0	0.64	0	0	0	0	0	0	0	0	0
jewelry	28.85846	80.29586	57.3053	55.90082	0	1.40448	0	0	0	0	0
leather	20.32736	39.00401	33.72209	7.74687	0	0	14.29133	0.22746	11.45643	0	0
tools	139.70192	59.46389	1.39469	0	0	0	1.39469	0	0	0	0
masonry	90.83836	7.12051	0.38576	0.00032	0.00028	0.00077	0.29758	0	0.08681	0	0
lacquerware	0	0	0	0	0	0	0	0	0	0	0
pottery	41.15855	141.09974	119.25549	0.77171	1.30173	0.89431	19.13486	0.12583	97.02705	0	0
furniture	19.01392	11.60556	10.95055	4.74914	3.79041	1.6848	0.5189	0.0015	0.2058	0	0
wild_game	500.56187	93.59167	55.43939	6.49092	2.66795	0.80634	4.78481	0.03859	40.65078	0	0
fur	216.4606	1.0567	0	0	0	0	0	0	0	0	0
