good	local_deficit	source_market	distance	their_surplus	their_available_to_trade
antq_grain_products	5.16384	Hippo Diarrhytus	128	2.02952	2.02952
antq_grain_products	5.16384	Massilia	135	0.37613	0.37613
antq_grain_products	5.16384	Carthago	146	1.55517	1.55517
antq_grain_products	5.16384	Hippo Regius	146	1.18929	1.18929
antq_grain_products	5.16384	Hadrumetum	164	2.01327	2.01327
antq_grain_products	5.16384	Mutina	164.1873	2.21923	2.21923
antq_grain_products	5.16384	Tacape	215	1.22975	1.22975
antq_grain_products	5.16384	Tarraco	217	0.57679	0.57679
antq_grain_products	5.16384	Mediolanum	219.70292	0.31964	0.31964
antq_grain_products	5.16384	Tarentum	222	0.32864	0.32864
antq_grain_products	5.16384	Ravenna	343.31328	1.92402	1.92402
antq_grain_products	5.16384	Corduba	486.42362	0.44575	0.44575
antq_grain_products	5.16384	Judaea–Samaria–Idumaea Plain	587.08328	0.13235	0.13235
antq_grain_products	5.16384	Emerita Augusta	620.13348	0.67146	0.67146
antq_grain_products	5.16384	Beroea of Syria	638.23972	1.66184	1.66184
antq_grain_products	5.16384	Arbela	2945.571	0.63636	0.63636
antq_grain_products	5.16384	Barygaza	4137	0.27739	0.27739
antq_grain_products	5.16384	Marakanda	4979.546	0.72515	0.72515
fruit	4.70827	Massilia	135	3.23072	3.23072
fruit	4.70827	Hadrumetum	164	0.5832	0.5832
fruit	4.70827	Nemausus	165	0.25138	0.25138
fruit	4.70827	Narbo Martius	178	2.76391	2.76391
fruit	4.70827	Tacape	215	15.86105	15.86105
fruit	4.70827	Tarraco	217	3.17446	3.17446
fruit	4.70827	Mediolanum	219.70292	3.07872	3.07872
fruit	4.70827	Tarentum	222	0.97459	0.97459
fruit	4.70827	Šaršāl	264	14.74103	14.74103
fruit	4.70827	Brundisium	267	4.99442	4.99442
fruit	4.70827	Corinthus	278	0.93679	0.93679
fruit	4.70827	Ravenna	343.31328	0.41809	0.41809
fruit	4.70827	Bononia	376.4316	0.70107	0.70107
fruit	4.70827	Gades	409	9.14089	9.14089
fruit	4.70827	Aquileia	422	10.38603	10.38603
fruit	4.70827	Lugdunum	433.42518	6.45039	6.45039
fruit	4.70827	Alexandria	451	15.95743	15.95743
fruit	4.70827	Byzantion	483	2.394	2.394
fruit	4.70827	Corduba	486.42362	2.56753	2.56753
fruit	4.70827	Judaea–Samaria–Idumaea Plain	587.08328	4.44442	4.44442
fruit	4.70827	Demašq	604.7949	4.5303	4.5303
fruit	4.70827	Beroea of Syria	638.23972	0.80949	0.80949
fruit	4.70827	Petra	676.0148	19.41199	19.41199
fruit	4.70827	Bosporan Phanagoria–Sindica	683	4.05787	4.05787
fruit	4.70827	Edessa	806.92392	1.6588	1.6588
fruit	4.70827	Burdigala	811	6.70066	6.70066
fruit	4.70827	Ubii Ara Ubiorum Oak Meadow	1287.41206	23.1406	23.1406
fruit	4.70827	Maya Lowlands	1807.50822	1.64207	1.64207
fruit	4.70827	Arbela	2945.571	2.43776	2.43776
