market	trade_capacity	burgher_trade_capacity	oversupply	undersupply	total_imbalance	local_oversupply	local_undersupply	local_total_imbalance	coverage_pct
Adulitan Northern Coast	2.465	2.99925	186.35135	4.40893	190.76028	186.72171	5.07993	191.80164	100
Alexandria	4.14716	3.34628	228.55796	6.67085	235.22881	233.24119	10.91007	244.15126	100
Mekong Basin	2.05083	0.60585	107.87465	1.30306	109.17771	108.32304	1.29127	109.61431	100
Antiochia ad Orontem	2.03905	3.40178	50.09822	14.04925	64.14747	60.12323	10.12055	70.24378	38.726
Palaesimundum	4.1094	7.89786	299.99042	27.07301	327.06343	290.64463	34.05976	324.70439	44.351
Aquileia	3.30321	7.91166	512.48908	37.25979	549.74887	528.48499	41.40253	569.88752	30.099
Arbela	2.01125	1.19962	32.23463	1.3005	33.53513	34.63809	4.8171	39.45519	100
Arelate	2.22325	2.022	17.12175	7.14525	24.267	22.14982	7.29845	29.44827	59.413
Barygaza	7.60678	7.19841	664.52134	30.26145	694.78279	671.61656	34.55307	706.16963	48.924
Beroea of Syria	2.0225	2.4007	63.52014	2.70889	66.22903	64.74772	4.90968	69.6574	100
Colonia Berytus	2.02549	1.90189	8.80468	2.9116	11.71628	9.72697	8.19377	17.92074	100
Bononia	2.02225	2.002	17.28678	3.69789	20.98467	12.45703	8.41433	20.87136	100
Brundisium	2.4695	2.32224	263.65741	5.86782	269.52523	270.76235	7.28497	278.04732	81.661
Burdigala	4.51582	12.53499	618.11483	31.72795	649.84278	611.39642	38.9815	650.37792	53.74
Byzantion	5.59613	4.6809	502.7114	27.87293	530.58433	510.85427	31.70798	542.56225	36.871
Caesaraugusta	2.52325	1.99951	184.32777	10.62461	194.95238	191.4304	6.39009	197.82049	42.568
Šaršāl	2.3655	4.69989	239.63382	11.68432	251.31814	246.89013	14.28977	261.1799	60.468
Carthago	2.04325	2.10205	52.01391	3.38316	55.39707	54.25789	6.92933	61.18722	100
Virú	4.48785	4.3884	201.28494	5.33767	206.62261	201.28494	5.33767	206.62261	100
Chang'an	4.0635	2.81131	558.07828	23.24181	581.32009	549.64955	22.22275	571.8723	29.579
Chengdu	7.07441	4.2615	924.77159	56.0162	980.78779	922.41063	57.6828	980.09343	20.236
Ubii Ara Ubiorum Oak Meadow	4.35024	40.24901	1217.44355	103.30461	1320.74816	1217.44355	103.30461	1320.74816	43.172
Corduba	2.3195	2.02955	127.80758	5.57152	133.3791	129.13403	4.19168	133.32571	78.058
Corinthus	2.02325	2.09951	155.11573	8.79174	163.90747	156.22786	7.39497	163.62283	46.893
Demašq	2.023	2.30195	32.48625	4.7641	37.25035	33.33692	6.6107	39.94762	90.782
Ecbatana	2.28125	1.90183	91.71257	5.03799	96.75056	96.62482	1.67303	98.29785	83.03
Edessa	4.62291	4.42884	181.91428	14.45183	196.36611	185.64982	13.85321	199.50303	62.633
Emerita Augusta	2.52325	1.99949	117.97258	3.84118	121.81376	119.69218	4.49704	124.18922	100
Smyrna Ionia Caria Cedar	6.7005	5.59126	482.7321	47.32327	530.05537	492.91626	45.17793	538.09419	25.974
Gades	2.0495	2.59938	334.17701	9.85775	344.03476	339.99178	5.55313	345.54491	47.159
Hadrumetum	2.0195	2.00197	36.47934	1.42496	37.9043	33.98104	5.67162	39.65266	100
Judaea–Samaria–Idumaea Plain	2.10416	2.39938	36.68854	0.91758	37.60612	36.60487	4.24336	40.84823	100
Hippo Diarrhytus	2.02245	2.002	35.60326	1.48604	37.0893	34.56116	3.85282	38.41398	100
Hippo Regius	2.08991	2.002	66.69526	1.86125	68.55651	64.44873	3.52731	67.97604	100
Kashgar	2.07125	14.49884	301.74602	7.35727	309.10329	300.28021	7.72003	308.00024	100
Lugdunum	6.1695	2.13954	623.18919	23.06199	646.25118	633.63544	27.71256	661.348	36.029
Luoyang	25.8735	15.08151	3768.04678	204.76473	3972.81151	3786.24446	202.25824	3988.5027	20.001
Marakanda	2.16216	12.98506	317.46059	12.15834	329.61893	315.62668	9.95089	325.57757	100
Mon Coast	2.54453	0.50487	175.23732	2.31489	177.55221	170.35075	2.52782	172.87857	100
Massilia	2.29325	2.00201	42.38809	4.43278	46.82087	37.14607	7.84661	44.99268	96.897
Luzon Coast	3.11115	1.09967	125.92761	3.53068	129.45829	126.79865	4.18944	130.98809	100
Mediolanum	2.37325	2.00953	158.31128	3.83468	162.14596	161.99996	5.73623	167.73619	100
Meroe	3.14995	2.23944	260.3592	9.3806	269.7398	264.86757	7.09116	271.95873	57.452
Monte Albán	2.08391	3.89906	113.32089	6.5969	119.91779	111.62293	7.49437	119.1173	90.693
Mutina	2.12325	2.01198	31.04272	2.1547	33.19742	31.95482	5.65231	37.60713	100
Mouza	3.11758	11.03639	492.3067	33.6727	525.9794	496.67939	35.37393	532.05332	42.033
Muziris	3.58599	4.8487	330.97306	15.84851	346.82157	342.90891	16.11809	359.027	53.22
Narbo Martius	2.52325	2.002	68.71174	11.41004	80.12178	77.84534	8.94895	86.79429	39.66
Nemausus	2.02325	2.00202	38.94685	4.40979	43.35664	36.20256	7.22413	43.42669	91.28
Angkor Borei	2.21125	0.40388	35.76935	0.4441	36.21345	32.88141	0.72487	33.60628	100
Olisipo	2.47325	2.02201	183.98668	4.38242	188.3691	183.91258	4.80078	188.71336	100
Emesa	2.0275	1.09974	10.98124	2.10581	13.08705	9.2946	7.22819	16.52279	100
Panyu	6.76724	3.28399	1013.20119	39.12229	1052.32348	1022.333	40.21814	1062.55114	25.691
Pataliputra	11.21082	22.30479	1107.23329	157.07472	1264.30801	1107.23329	144.89905	1252.13234	21.337
Petra	2.10816	3.39876	139.86564	6.59519	146.46083	142.05891	7.17884	149.23775	83.499
Bosporan Phanagoria–Sindica	2.99452	9.71499	550.93502	176.26046	727.19548	554.04615	178.24888	732.29503	7.21
Ravenna	2.02325	2.00197	29.77813	2.53337	32.3115	28.67097	5.06046	33.73143	100
Rhaga	2.04325	2.30113	195.29572	4.45666	199.75238	199.5825	4.78387	204.36637	97.48
Roma	3.56877	3.62252	263.73124	45.08933	308.82057	276.50266	31.23582	307.73848	15.948
Ctesiphon	3.03391	4.34118	145.24119	13.42747	158.66866	142.20115	16.27902	158.48017	54.925
Phoenician Sidon	2.01749	1.10106	10.55884	2.26644	12.82528	10.71658	7.72307	18.43965	100
Brantas Coast	2.33753	1.12134	175.73403	3.96612	179.70015	175.73403	3.96612	179.70015	87.21
Susa	2.22216	6.32632	345.98755	16.17335	362.1609	340.15666	20.59827	360.75493	52.855
Atropatene	7.40419	13.9579	635.58144	53.36082	688.94226	641.35389	52.42896	693.78285	40.033
Tacape	2.03774	2.4008	95.99252	1.56474	97.55726	100.26909	4.47595	104.74504	100
Tarentum	2.02325	2.00197	121.73521	2.16016	123.89537	120.2325	3.88265	124.11515	100
Tarraco	2.02325	1.99955	135.91976	0.87802	136.79778	136.27436	2.02483	138.29919	100
Indus–Taxila Ford	6.60823	9.9103	595.98595	56.06269	652.04864	596.7487	53.67046	650.41916	29.464
Malay Straits	2.40844	0.70714	168.36129	3.0459	171.40719	177.85218	1.83236	179.68454	100
Cuicuilco	3.74673	2.61935	266.31696	9.51167	275.82863	270.0306	7.00155	277.03215	66.929
Jiaozhi	2.99416	1.34626	357.50608	15.26756	372.77364	349.66219	17.42507	367.08726	28.429
Maya Lowlands	2.1075	2.81933	160.40907	5.94252	166.35159	160.40264	6.96385	167.36649	82.908
