market	production	trade_imports	total_supply	total_demand	surplus	capacity_levels	avg_per_level
Luoyang	425.54736	0	425.54736	64.16756	361.3798	415	1.02541
Oppidum Ubiorum	110.74597	0	110.74597	52.50625	58.23972	121	0.91525
Lugdunum	95.35972	0	95.35972	31.11008	64.24964	91	1.0479
Taxila	60.61757	0	60.61757	20.52524	40.09233	64	0.94714
Aquileia	58.73586	0	58.73586	22.1526	36.58326	63	0.93231
Chang'an	53.08657	0	53.08657	15.95961	37.12696	51	1.04091
Burdigala	51.05199	0	51.05199	28.85774	22.19425	51	1.00101
Mouza	43.09675	0	43.09675	19.26233	23.83442	45	0.9577
Pataliputra	40.44851	0	40.44851	32.24862	8.19989	43	0.94066
Atropatene	39.13744	0	39.13744	44.386	-5.24856	39	1.00352
Roma	32.39306	0	32.39306	23.4779	8.91516	31	1.04493
Chengdu	31.08453	0	31.08453	16.28116	14.80337	30	1.03615
Ephesus	30.88875	0	30.88875	20.01815	10.8706	30	1.02962
Phanagoria	28.15372	0	28.15372	8.67488	19.47884	91	0.30938
Petra	26.98816	0	26.98816	7.04348	19.94468	29	0.93062
Marakanda	26.46835	0	26.46835	10.30627	16.16208	27	0.9803
Brundisium	25.07736	0	25.07736	14.80668	10.27068	24	1.04489
Caesaraugusta	24.3266	0	24.3266	11.67401	12.65259	24	1.0136
Mediolanum	24.08223	0	24.08223	7.38989	16.69234	23	1.04705
Kashgar	20.0713	0	20.0713	7.24306	12.82824	20	1.00356
Susa	20.05029	0	20.05029	11.94651	8.10378	21	0.95477
Adulis	19.22186	0	19.22186	7.51497	11.70689	19	1.01167
Byzantion	18.82935	0	18.82935	23.69839	-4.86904	18	1.04607
Šaršāl	18.25686	0	18.25686	8.81215	9.44471	18	1.01427
Ctesiphon	17.03931	0	17.03931	10.21183	6.82748	18	0.94662
Corduba	16.06676	0	16.06676	7.82006	8.2467	16	1.00417
Tarraco	15.37199	0	15.37199	8.77439	6.5976	15	1.02479
Emerita Augusta	14.12789	0	14.12789	7.73086	6.39703	14	1.00913
Alexandria	11.72	0	11.72	8.16033	3.55967	17	0.68941
Rhaga	11.67701	0	11.67701	5.57553	6.10148	12	0.97308
Gades	11.31319	0	11.31319	7.99999	3.3132	12	0.94276
Olisipo	9.40392	0	9.40392	10.88877	-1.48485	9	1.04488
Meroe	9.01196	0	9.01196	5.02123	3.99073	9	1.00132
Ecbatana	8.04839	0	8.04839	3.83147	4.21692	8	1.00604
Barygaza	5.89629	0	5.89629	18.22502	-12.32873	6	0.98271
Tacape	5.66923	0	5.66923	4.50431	1.16492	6	0.94487
Hippo Diarrhytus	5.2242	0	5.2242	3.28013	1.94407	9	0.58046
Beroia	4.97405	0	4.97405	4.00463	0.96942	5	0.99481
Tarentum	4.17937	0	4.17937	6.06904	-1.88967	9	0.46437
Hierosolyma	4.04144	0	4.04144	3.96538	0.07606	4	1.01036
Mutina	3.13453	0	3.13453	3.12207	0.01246	3	1.04484
Corinthus	3.1345	0	3.1345	8.9818	-5.8473	3	1.04483
Hippo Regius	3.08448	0	3.08448	4.24699	-1.16251	3	1.02816
Carthago	3.03436	0	3.03436	4.38276	-1.3484	3	1.01145
Hadrumetum	2.88438	0	2.88438	3.14044	-0.25606	8	0.36054
Ravenna	2.08969	0	2.08969	3.24455	-1.15486	2	1.04484
Antiocheia	2.05	0	2.05	7.028	-4.978	2	1.025
Edessa	2.04964	0	2.04964	7.96943	-5.91979	2	1.02482
Massilia	1.04483	0	1.04483	3.93824	-2.89341	1	1.04483
Narbo Martius	1.04483	0	1.04483	4.93161	-3.88678	1	1.04483
Panyu	0	2.12571	2.12571	7.52122	-5.39551	0	0
