market	production	trade_imports	total_supply	total_demand	surplus	capacity_levels	avg_per_level
Luoyang	420.24939	0	420.24939	69.60403	350.64536	415	1.01264
Oppidum Ubiorum	110.24241	0	110.24241	52.41427	57.82814	121	0.91109
Lugdunum	95.35972	0	95.35972	31.72322	63.6365	91	1.0479
Taxila	60.61757	0	60.61757	21.4097	39.20787	64	0.94714
Aquileia	58.65454	0	58.65454	43.20645	15.44809	63	0.93102
Chang'an	52.41086	0	52.41086	15.98503	36.42583	51	1.02766
Burdigala	50.99592	0	50.99592	32.86994	18.12598	51	0.99992
Mouza	42.92934	0	42.92934	19.80464	23.1247	45	0.95398
Pataliputra	40.33036	0	40.33036	31.33802	8.99234	43	0.93791
Atropatene	39.13744	0	39.13744	44.92378	-5.78634	39	1.00352
Roma	32.39306	0.97866	33.37172	24.52675	8.84497	31	1.04493
Ephesus	30.88875	0	30.88875	20.24483	10.64392	30	1.02962
Chengdu	30.70527	0	30.70527	16.61555	14.08972	30	1.0235
Phanagoria	28.02786	0	28.02786	12.52529	15.50257	91	0.30799
Petra	26.95231	0	26.95231	7.17152	19.78079	29	0.92939
Marakanda	26.43898	0	26.43898	10.03286	16.40612	27	0.97922
Brundisium	25.07736	0	25.07736	14.75656	10.3208	24	1.04489
Caesaraugusta	24.3266	0	24.3266	13.4811	10.8455	24	1.0136
Mediolanum	24.08223	0	24.08223	11.09528	12.98695	23	1.04705
Kashgar	20.04736	0	20.04736	7.2927	12.75466	20	1.00236
Susa	19.96678	0	19.96678	12.13444	7.83234	21	0.95079
Adulis	19.18601	0	19.18601	7.77584	11.41017	19	1.00979
Byzantion	18.7338	5.00347	23.73727	23.73727	0	18	1.04076
Šaršāl	18.25686	0	18.25686	8.66703	9.58983	18	1.01427
Ctesiphon	16.96761	0	16.96761	10.31549	6.65212	18	0.94264
Corduba	16.06676	0	16.06676	7.78763	8.27913	16	1.00417
Tarraco	15.37199	0	15.37199	10.92027	4.45172	15	1.02479
Emerita Augusta	14.12789	0	14.12789	7.85964	6.26825	14	1.00913
Alexandria	11.72	0	11.72	11.72	0	17	0.68941
Rhaga	11.67701	0	11.67701	5.64415	6.03286	12	0.97308
Gades	11.21887	0	11.21887	7.99896	3.21991	12	0.9349
Olisipo	9.40392	1.58095	10.98487	10.98487	0	9	1.04488
Meroe	8.90462	0	8.90462	4.8335	4.07112	9	0.9894
Ecbatana	8.04839	0	8.04839	3.85244	4.19595	8	1.00604
Hippo Diarrhytus	6.26904	0	6.26904	4.05645	2.21259	9	0.69656
Tarentum	6.26896	0	6.26896	6.14024	0.12872	9	0.69655
Barygaza	5.88426	0.74448	6.62874	16.97767	-10.34893	6	0.98071
Tacape	5.66923	0	5.66923	4.27274	1.39649	6	0.94487
Beroia	4.97405	0	4.97405	8.77882	-3.80477	5	0.99481
Hadrumetum	4.77438	0	4.77438	4.77438	0	8	0.59679
Hierosolyma	4.02951	0	4.02951	3.96916	0.06035	4	1.00737
Mutina	3.13453	0	3.13453	3.07659	0.05794	3	1.04484
Corinthus	3.1345	5.65446	8.78896	8.78896	0	3	1.04483
Hippo Regius	3.08448	0.93259	4.01707	4.01707	0	3	1.02816
Carthago	3.03436	0.27672	3.31108	4.38038	-1.0693	3	1.01145
Ravenna	2.08969	1.12292	3.21261	3.21261	0	2	1.04484
Antiocheia	2.05	4.5152	6.5652	6.5652	0	2	1.025
Edessa	2.04964	0	2.04964	7.72816	-5.67852	2	1.02482
Massilia	1.04483	2.9181	3.96293	3.96293	0	1	1.04483
Narbo Martius	1.04483	8.03867	9.0835	4.92764	4.15586	1	1.04483
Arelate	0	2.71249	2.71249	2.71249	0	0	0
Berytus	0	1.49799	1.49799	1.49799	0	0	0
Bononia	0	2.18588	2.18588	2.18588	0	0	0
Demašq	0	2.02114	2.02114	2.02114	0	0	0
Luzon Coast	0	0.36691	0.36691	2.15819	-1.79128	0	0
Nemausus	0	3.10185	3.10185	3.10185	0	0	0
Emesa	0	0.54229	0.54229	1.36853	-0.82624	0	0
Panyu	0	7.88193	7.88193	7.88193	0	0	0
Sidon	0	1.39361	1.39361	1.39361	0	0	0
