sample,region_key,location_key,location_kind,owned,location_name,province_name,area_name,region_name,subcontinent_name,continent_name,source,confidence
region_01,alaska_region,norman_wells,land,no,Tlegohli,Great-Bear–Dehcho Tundra,Na-Dene Kwiguk–Dehcho,Unaliq and Na-Dene Lands,Northern Lands Beyond Ocean,Western Lands Beyond Ocean,GEO-PROXY;installed:in_game/map_data/location_templates.txt,medium
region_02,anatolia_region,bor_tur,land,yes,Tyana,Tyana–Taurus Cappadocia,Cappadocia,Asia Minor,Asia about the Taurus,Asia,GEO-PROXY,high
region_03,andes_region,achacachi,land,yes,Pukara–Tiwanaku Achacachi Shore,Tiwanaku–Katari Heartland,Pukara–Early Tiwanaku,Cordilleran Worlds,Southern Lands Beyond Ocean,Western Lands Beyond Ocean,installed:in_game/map_data/location_templates.txt;MET-ANDES-1500,high
region_04,antarctic_ocean_region,eastern_southern_ocean,sea,no,Ocean,Far Southern Ocean,Mare Australe,Oceanus Australis,Farthest Southern Ocean,Southern Outer Ocean,installed:in_game/map_data/location_templates.txt;GEO-PROXY;https://www.britannica.com/place/Southern-Ocean,medium
region_05,arabia_region,dhafar,land,yes,Zafar,Himyarite Dhafar–Yarim Highlands,Himyar–Hadramawt–Saba,Arabia,Asia about the Taurus,Asia,GEO-PROXY,high
region_06,aridoamerica_region,nochistlan,land,yes,Tuitán Lands,Nochistlán–Tuitán Chalchihuites Lands,Tuitán–Chalchihuites Lands,Northern Desert Traditions,Northern Lands Beyond Ocean,Western Lands Beyond Ocean,GEO-PROXY;installed:in_game/map_data/location_templates.txt,medium
region_07,australia_region,karroun,land,no,Carey Lands,Carey–Western Drylands,Wardandi–Yuat Western Drylands,Southern Sahul,Great Southern Lands,Eastern and Southern Ocean Lands,installed:in_game/map_data/location_templates.txt;GEO-PROXY,medium
region_08,balkan_region,skopje,land,yes,Scupi,Paeonia–Dardania Axios Lands,Macedonia and Paeonia,Illyricum and Thracia,Sarmatia–Scythia–Thrace,Europe,https://pleiades.stoa.org/places/481987;GEO-PROXY;installed:in_game/map_data/location_templates.txt,high
region_09,baltic_region,krakow,land,yes,Carrodunum,Przeworsk Upper-Vistula Lands,Upper Vistula Przeworsk Lands,Vistula and Mare Suebicum,Sarmatia–Scythia–Thrace,Europe,GEO-PROXY;installed:in_game/map_data/location_templates.txt,medium
region_10,bengal_region,bhagalpur,land,yes,Campā,Anga–Videha Ganges Lands,Videha and Magadha,Vanga and Kalinga,India,Asia,installed:in_game/map_data/location_templates.txt;GEO-PROXY;https://www.britannica.com/place/Anga,high
region_11,brazil_region,manaos,land,yes,Solimoes–Negro Floodplain,Rio Negro–Açutuba Ceramic Lands,Acutuba and Lower Paraná-Uassú,Paraná-Uassú Lands and Paraná,Southern Lands Beyond Ocean,Western Lands Beyond Ocean,GEO-PROXY;installed:in_game/map_data/location_templates.txt,medium
region_12,canada_region,iqaluit,land,yes,Dorset Frobisher-Bay Camps,Southern Qikiqtaaluk Dorset Lands,Dorset–Ungava Lands,Shield and Northern Woodlands,Northern Lands Beyond Ocean,Western Lands Beyond Ocean,GEO-PROXY,medium
region_13,caribbean_region,carucairi,land,yes,Waitukubuli Hewanorra Saladoid Granite Reach,Waitukubuli–Hewanorra Saladoid Isles,Saladoid Island Chain,Saladoid Isles,Northern Lands Beyond Ocean,Western Lands Beyond Ocean,GEO-PROXY;installed:in_game/map_data/location_templates.txt,medium
region_14,carpathia_region,sopron,land,yes,Scarbantia,Scarbantia–Arrabona Pannonia,Eravisci–Azali Pannonia,Dacia and Pannonia,Sarmatia–Scythia–Thrace,Europe,https://pleiades.stoa.org/places/197501;GEO-PROXY;installed:in_game/map_data/location_templates.txt,high
region_15,caucasus_region,akhaltsikhe,land,yes,Mtkvari–Meschian Gorge,Meschi of Mtkvari–Ardahan,Colchis and Iberia,Caucasus,Sarmatia–Scythia–Thrace,Europe,installed:in_game/map_data/location_templates.txt;STR-CAUC;GEO-PROXY,high
region_16,central_africa_region,am_dam,land,yes,Am Dam Country,Wadai–Batha Lands,Batha–Salamat Lands,Lake Chad and Ogooué,Inner Aethiopia,Libya,installed:in_game/map_data/location_templates.txt;GEO-PROXY,medium
region_17,central_america_region,namaan,land,yes,Yax Mutal–Wak Lands,Yax Mutal–Wak Kab'nal Preclassic Lands,Late Preclassic Maya Lowlands,Maya and Isthmian Lands,Northern Lands Beyond Ocean,Western Lands Beyond Ocean,GEO-PROXY;installed:in_game/map_data/location_templates.txt,medium
region_18,central_india_region,bhilsa,land,yes,Vidisha,Eastern Avanti–Vidisha,Avanti and Anupa,Avanti and Vidarbha,India,Asia,installed:in_game/map_data/location_templates.txt;GEO-PROXY;https://www.britannica.com/place/Vidisha,high
region_19,chaco_region,ibera_swamp,land,no,Guaraní Iberá Marsh,Parana–Uruguay Wetland,Chaco Forest–Wetland,Paraguay and Mamoré Lowlands,Southern Lands Beyond Ocean,Western Lands Beyond Ocean,installed:in_game/map_data/location_templates.txt;GEO-PROXY;https://www.britannica.com/place/Parana-River,medium
region_20,colombia_region,guamontey,land,yes,Orinoco Llanos,Guárico–Unare Barrancoid Lands,Tacarigua and the Coastal Range,Orinoco and Magdalena Lands,Southern Lands Beyond Ocean,Western Lands Beyond Ocean,GEO-PROXY,medium
region_21,crescent_region,an_nil,land,yes,Kish,Mesene Marshes,Babylonia,Syria and Mesopotamia,Asia about the Taurus,Asia,https://pleiades.stoa.org/places/894028,high
region_22,deccan_region,srirangam,land,yes,Uraiyur,Chola Kaveri Country,Tamilakam,Dakshinapatha,India,Asia,https://www.britannica.com/place/Chola-dynasty;installed:in_game/map_data/location_templates.txt,high
region_23,east_china_region,ningde,land,yes,Minyue Coast,Northern Minyue Coast,Minyue,Jiangnan and Minyue,Serica and Sinae,Asia,GEO-PROXY;installed:in_game/map_data/location_templates.txt,medium
region_24,east_coast_region,nikahionhwakowa,land,yes,St Lawrence Lands,Point-Peninsula St Lawrence Lands,Point Peninsula Lands,Eastern Woodlands,Northern Lands Beyond Ocean,Western Lands Beyond Ocean,GEO-PROXY;installed:in_game/map_data/location_templates.txt,medium
region_25,east_siberia_region,aldan_upplands4,land,no,Eastern Dzhugdzhur–Dikimdya Peaks,Aldan–Olyokma Highlands,Aldan–Okhotsk Highlands,Lena and Kolyma Lands,Scythia Beyond Imaus,Asia,installed:in_game/map_data/location_templates.txt;GEO-PROXY,high
region_26,egypt_region,derna,land,yes,Darnis,Darnis–Antipyrgos Coast,Cyrenaica,Aegyptus and Cyrenaica,Mediterranean Libya,Libya,https://pleiades.stoa.org/places/373780,high
region_27,ethiopia_region,agula,land,yes,Aksumite Agula–Mekele Plateau,Eastern Aksumite Tigray,Aksum–Adulis and Afar Lands,Aksum and the Highlands,Aethiopia and Azania,Libya,GEO-PROXY;https://www.britannica.com/place/Aksum-ancient-kingdom-Africa,high
region_28,france_region,agde,land,yes,Agatha,Narbo–Baeterrae Volcae Lands,Lands of the Volcae,Gallia,Celtica–Germania–Italia,Europe,https://pleiades.stoa.org/places/147985,high
region_29,great_britain_region,anglesey,land,yes,Mona,Ordovices of Mona and Segontium,Silures and Ordovices,Britannia,Celtica–Germania–Italia,Europe,GEO-PROXY;TAC-GER,high
region_30,great_lakes_region,rubaga,land,yes,Great Lakes Urewe horizon,Nalubaale–Katonga Urewe,Urewe Great Lakes Corridor,Urewe Lakes,Aethiopia and Azania,Libya,JAH-BANTU-MOBILITY;AZA-UREWE;GEO-PROXY;installed:in_game/map_data/location_templates.txt,medium
region_31,great_plains_region,nodaway,land,yes,Missouri Forest,Nodaway–Missouri Woodland,Central Missouri Hopewell Lands,Woodland Interior,Northern Lands Beyond Ocean,Western Lands Beyond Ocean,GEO-PROXY;installed:in_game/map_data/location_templates.txt,medium
region_32,guinea_region,ewu,land,yes,Ewu Lands,Owo–Ekiti Nok-Successor Iron,Lower Niger and Delta,Upper Niger and Western Forests,Atlantic Aethiopia,Libya,GEO-PROXY;installed:in_game/map_data/location_templates.txt,medium
region_33,hindustan_region,aror,land,yes,Alor of Sindhu,Sauvira–Hakra Desert Oases,Pañcanada–Gandhāra,Aryavarta,India,Asia,PER,high
region_34,iberia_region,baza,land,yes,Basti,Bastetania and Urci,Bastetania,Hispaniae,Celtica–Germania–Italia,Europe,installed:in_game/map_data/location_templates.txt;GEO-PROXY;https://pleiades.stoa.org/places/265846,high
region_35,indian_ocean_region,bengal_bay,sea,no,Gangetic Great Gulf,Gangetic Great Bay,Gangetic Gulf,Erythraean Sea,Erythraean Waters,Erythraean Sea,installed:in_game/map_data/location_templates.txt;GEO-PROXY;https://depts.washington.edu/silkroad/texts/periplus/periplus.html,high
region_36,indochina_region,akyab,land,yes,Kaladan–Dhanyawadi Coast,Dhanyawadi–Kaladan Coast,Arakan and Harikela Littoral,Suvarnabhumi,Golden Chersonese and Isles,Asia,installed:in_game/map_data/location_templates.txt;CAM-ARAKAN-BOUNDARY;GEO-PROXY,high
region_37,indonesia_region,agno,land,yes,Agno Metal-Age River Crossing,Lingayen–Ilocos Metal-Age Lands,Luzon–Palawan Metal-Age Lands,Yavadvipa Archipelago,Golden Chersonese and Isles,Asia,GEO-PROXY;NMP-PH-METAL,high
region_38,ireland_region,fermoy,land,yes,Mallow Lands,Iverni of the Southern Coast,Iverni and Velabri Lands,Ierne,Celtica–Germania–Italia,Europe,GEO-PROXY;installed:in_game/map_data/location_templates.txt,medium
region_39,italy_region,genoa,land,yes,Genua,Genua and the Eastern Ligures,Liguria,Italia,Celtica–Germania–Italia,Europe,GEO-PROXY,high
region_40,japan_region,aimi,land,yes,Yayoi Kibi–Aimi Lands,Izumo–Daisen Wa,Izumo–Tajima Wa,Wa Islands,Serica and Sinae,Asia,GEO-PROXY;JAA-YAY;ISIJ-YAY,high
region_41,khorasan_region,balkh,land,yes,Bactra,Bactra and Oxus Plain,Aria and Bactria,Sogdiana and Saka Lands,Ariana,Asia,GEO-PROXY,high
region_42,kongo_region,nkunga,land,yes,Nzadi Vale,Lower-Nzadi Heartland,Ngovo Lower Congo Lands,Western Equatorial Forests,Inner Aethiopia,Libya,GEO-PROXY;installed:in_game/map_data/location_templates.txt,medium
region_43,korea_region,ganggye,land,yes,Gungnae,Upper Yalu Yemaek Lands,Lelang–Yemaek,Samhan–Lelang,Serica and Sinae,Asia,GEO-PROXY,high
