building,category,package,productive,produced,upkeep_additions,source,confidence
antq_aedes_bellonae,religious_category,antq_s2_sanctuary_construction,no,,pottery=0.020;cloth=0.010,DAR-BELLONA,secure
antq_aedes_concordiae_augustae,religious_category,antq_s2_sanctuary_construction,no,,pottery=0.020;cloth=0.010,DAR-CONCORDIA-AUGUSTA,contested
antq_aedes_divi_iulii,religious_category,antq_s2_sanctuary_construction,no,,pottery=0.020;cloth=0.010,DAR-DIVUS-IULIUS,contested
antq_aedes_fortunae_primigeniae,religious_category,antq_s2_sanctuary_construction,no,,pottery=0.020;cloth=0.010,DAR-FORTUNA-PRIMIGENIA,contested
antq_aedes_iovis_statoris,religious_category,antq_s2_sanctuary_construction,no,,pottery=0.020;cloth=0.010,DAR-IOVIS-STATOR,contested
antq_aedes_iovis_tonantis,religious_category,antq_s2_sanctuary_construction,no,,pottery=0.020;cloth=0.010,DAR-IUPPITER-TONANS,secure
antq_aedes_magnae_matris,religious_category,antq_s2_sanctuary_construction,no,,pottery=0.020;cloth=0.010,DAR-MAGNA-MATER,secure
antq_aedes_penatium,religious_category,antq_s2_sanctuary_construction,no,,pottery=0.020;cloth=0.010,DAR-PENATES,contested
antq_aedes_portuni,religious_category,antq_s2_sanctuary_construction,no,,pottery=0.020;cloth=0.010,DAR-PORTUNUS,contested
antq_aedes_saturni,government_category,antq_s2_civic_construction,no,,cloth=0.020;pottery=0.010,DAR-SATURNUS,contested
antq_aedes_vestae,religious_category,antq_s2_sanctuary_construction,no,,pottery=0.020;cloth=0.010,DAR-VESTA,contested
antq_aedes_victoriae,religious_category,antq_s2_sanctuary_construction,no,,pottery=0.020;cloth=0.010,DAR-VICTORIA,contested
antq_amphitheatrum_statilii_tauri,cultural_category,antq_s2_civic_construction,no,,cloth=0.020;pottery=0.010,DAR-AMPHITHEATRUM-TAURUS,contested
antq_aqua_alsietina,infrastructure_category,antq_s2_waterworks_construction,no,,tools=0.020;masonry=0.010,DAR-AQUA-ALSIETINA,contested
antq_aqua_virgo,infrastructure_category,antq_s2_waterworks_construction,no,,tools=0.020;masonry=0.010,SOV-AQUA-VIRGO;TR-BATHS-AGRIPPA,secure
antq_ara_pacis_augustae,religious_category,antq_s2_sanctuary_construction,no,,pottery=0.020;cloth=0.010,DAR-ARA-PACIS,secure
antq_ara_saturni,religious_category,antq_s2_sanctuary_construction,no,,pottery=0.020;cloth=0.010,DAR-ARA-SATURNI,contested
antq_basilica_aemilia,government_category,antq_s2_civic_construction,no,,cloth=0.020;pottery=0.010,PARCO-AEMILIA,secure
antq_basilica_iulia,government_category,antq_s2_civic_construction,no,,cloth=0.020;pottery=0.010,DAR-BASILICA-IULIA,contested
antq_bibliotheca_latina_graecaque,cultural_category,antq_s2_civic_construction,no,,cloth=0.020;pottery=0.010,DAR-BIBLIOTHECA-PAL,contested
antq_buddhist_vihara,religious_category,antq_s2_sanctuary_construction,no,,pottery=0.020;cloth=0.010,P11;UNESCO-ANU-MON,secure
antq_casa_romuli,cultural_category,antq_s2_civic_construction,no,,cloth=0.020;pottery=0.010,DAR-CASA-ROMULI,contested
antq_castra_siscia,defense_category,antq_s2_fortification_construction,no,,weaponry=0.020;leather=0.020,OCD-SISCIA,contested
antq_castra_vetera,defense_category,antq_s2_fortification_construction,no,,weaponry=0.020;leather=0.020,LVR-VETERA,secure
antq_castrum_aliso,defense_category,antq_s2_fortification_construction,no,,weaponry=0.020;leather=0.020,LWL-ALISO,secure
antq_castrum_argentoratum,defense_category,antq_s2_fortification_construction,no,,weaponry=0.020;leather=0.020,UNISTRA-ARGENTORATUM,secure
antq_castrum_augusta_raurica,defense_category,antq_s2_fortification_construction,no,,weaponry=0.020;leather=0.020,AR-COLONIA,secure
antq_castrum_augusta_vindelicum,defense_category,antq_s2_fortification_construction,no,,weaponry=0.020;leather=0.020,AUG-ROMERLAGER,secure
antq_castrum_bonna,defense_category,antq_s2_fortification_construction,no,,weaponry=0.020;leather=0.020,LIV-BONNA;LVR-NGL,secure
antq_castrum_hunnerberg,defense_category,antq_s2_fortification_construction,no,,weaponry=0.020;leather=0.020,RU-HUNNERBERG,secure
antq_castrum_mogontiacum,defense_category,antq_s2_fortification_construction,no,,weaponry=0.020;leather=0.020,MZ-MOG;MZ-DRUSUS,secure
antq_castrum_novaesium,defense_category,antq_s2_fortification_construction,no,,weaponry=0.020;leather=0.020,NEU-NOVAESIUM,secure
antq_chalcidicum_iulium,government_category,antq_s2_civic_construction,no,,cloth=0.020;pottery=0.010,DAR-FORUM-IULIUM,contested
antq_circus_flaminius,cultural_category,antq_s2_civic_construction,no,,cloth=0.020;pottery=0.010,DAR-CIRCUS-FLAMINIUS,contested
antq_circus_maximus,cultural_category,antq_s2_civic_construction,no,,cloth=0.020;pottery=0.010,DAR-CIRCUS,secure
antq_classis_ravennatis,naval_category,antq_s2_port_construction,no,,antq_cordage=0.040;tar=0.020,MIC-CLASSE;RA-CLASSE,secure
antq_curia_iulia,government_category,antq_s2_civic_construction,no,,cloth=0.020;pottery=0.010,DAR-CURIA-IULIA,secure
antq_curiae_veteres,government_category,antq_s2_civic_construction,no,,cloth=0.020;pottery=0.010,DAR-CURIAE-VETERES,contested
antq_diribitorium,government_category,antq_s2_civic_construction,no,,cloth=0.020;pottery=0.010,DAR-DIRIBITORIUM,secure
antq_earthwork_stockade,defense_category,antq_s2_fortification_construction,no,,weaponry=0.020;leather=0.020,P14;CAH-XI;BHR,secure
antq_fornix_augusti,government_category,antq_s2_civic_construction,no,,cloth=0.020;pottery=0.010,DAR-FORNIX-AUGUSTI,contested
antq_fornix_fabianus,government_category,antq_s2_civic_construction,no,,cloth=0.020;pottery=0.010,DAR-FORNIX-FABIANUS,contested
antq_forum_augusti,government_category,antq_s2_civic_construction,no,,cloth=0.020;pottery=0.010,DAR-FORUM-AUG,secure
antq_forum_iulium,government_category,antq_s2_civic_construction,no,,cloth=0.020;pottery=0.010,DAR-FORUM-IULIUM,secure
antq_forum_romanum,government_category,antq_s2_civic_construction,no,,cloth=0.020;pottery=0.010,PARC-FORUM;P12.3,secure
antq_hecatostylum,cultural_category,antq_s2_civic_construction,no,,cloth=0.020;pottery=0.010,DAR-HECATOSTYLUM,contested
antq_horologium_augusti,cultural_category,antq_s2_civic_construction,no,,cloth=0.020;pottery=0.010,DAR-HOROLOGIUM,contested
antq_horrea_galbana,trade_category,antq_s2_storehouse_construction,no,,pottery=0.020;antq_cordage=0.010,DAR-HORREA-GALBANA,secure
antq_horrea_publica,infrastructure_category,antq_s2_storehouse_construction,no,,pottery=0.020;antq_cordage=0.010,OCD-ANNONA;P12.3,secure
antq_irrigation_network,infrastructure_category,antq_s2_waterworks_construction,no,,tools=0.020;masonry=0.010,P12.3;UNESCO-DJJ;UNESCO-ANU;UNESCO-FAY,secure
antq_library_alexandria,cultural_category,antq_s2_archive_construction,no,,cloth=0.020;leather=0.015,P12.3;P8.1,secure
antq_macellum_romanum,trade_category,antq_s2_market_construction,no,,pottery=0.020;cloth=0.015,DAR-MACELLUM,secure
