category,texture,installed_source,status,region,art_kind,target,dimensions,sha256,note
other,gfx/illustrations/assets/location_view/test/empty.dds,,retained_engine_period_neutral,,,,,,natural/effect layer; no built structure
dock,gfx/interface/illustrations/location/dock/ashanti/ashanti_dock1_metadata_os2654x440_d426x140_t.dds,<GAME_DIR>\game\main_menu\gfx\interface\illustrations\location\dock\ashanti\ashanti_dock1_metadata_os2654x440_d426x140_t.dds,replaced_ad1,african,dock,main_menu\gfx\interface\illustrations\location\dock\ashanti\ashanti_dock1_metadata_os2654x440_d426x140_t.dds,767x186,26e3c8949c22acb522b57cbc08e98a655a98aede64dacb121bee984f5cdb053f,generated four-up against exact installed EU5 references
dock,gfx/interface/illustrations/location/dock/ashanti/ashanti_dock2_metadata_os2654x440_d426x140_t.dds,<GAME_DIR>\game\main_menu\gfx\interface\illustrations\location\dock\ashanti\ashanti_dock2_metadata_os2654x440_d426x140_t.dds,replaced_ad1,african,dock,main_menu\gfx\interface\illustrations\location\dock\ashanti\ashanti_dock2_metadata_os2654x440_d426x140_t.dds,767x186,26e3c8949c22acb522b57cbc08e98a655a98aede64dacb121bee984f5cdb053f,generated four-up against exact installed EU5 references
dock,gfx/interface/illustrations/location/dock/ashanti/ashanti_dock3_metadata_os2654x440_d426x140_t.dds,<GAME_DIR>\game\main_menu\gfx\interface\illustrations\location\dock\ashanti\ashanti_dock3_metadata_os2654x440_d426x140_t.dds,replaced_ad1,african,dock,main_menu\gfx\interface\illustrations\location\dock\ashanti\ashanti_dock3_metadata_os2654x440_d426x140_t.dds,767x186,26e3c8949c22acb522b57cbc08e98a655a98aede64dacb121bee984f5cdb053f,generated four-up against exact installed EU5 references
dock,gfx/interface/illustrations/location/dock/asian/asian_dock1_metadata_os2654x440_d426x140_t.dds,<GAME_DIR>\game\main_menu\gfx\interface\illustrations\location\dock\asian\asian_dock1_metadata_os2654x440_d426x140_t.dds,replaced_ad1,han,dock,main_menu\gfx\interface\illustrations\location\dock\asian\asian_dock1_metadata_os2654x440_d426x140_t.dds,767x186,fd75029665b8b5a582cbd7d49c17aa1ec21346cb5ccd8c4cc49f1e48cebca53f,generated four-up against exact installed EU5 references
dock,gfx/interface/illustrations/location/dock/asian/asian_dock2_metadata_os2654x440_d426x140_t.dds,<GAME_DIR>\game\main_menu\gfx\interface\illustrations\location\dock\asian\asian_dock2_metadata_os2654x440_d426x140_t.dds,replaced_ad1,han,dock,main_menu\gfx\interface\illustrations\location\dock\asian\asian_dock2_metadata_os2654x440_d426x140_t.dds,767x186,70a6de1d10a48f1eda074d5ba26783cee3a76f7c79ad8687f4c5421fa14f6d20,generated four-up against exact installed EU5 references
dock,gfx/interface/illustrations/location/dock/asian/asian_dock3_metadata_os2654x440_d426x140_t.dds,<GAME_DIR>\game\main_menu\gfx\interface\illustrations\location\dock\asian\asian_dock3_metadata_os2654x440_d426x140_t.dds,replaced_ad1,han,dock,main_menu\gfx\interface\illustrations\location\dock\asian\asian_dock3_metadata_os2654x440_d426x140_t.dds,767x186,70a6de1d10a48f1eda074d5ba26783cee3a76f7c79ad8687f4c5421fa14f6d20,generated four-up against exact installed EU5 references
dock,gfx/interface/illustrations/location/dock/aztec/aztec_dock1_metadata_os2654x440_d426x140_t.dds,<GAME_DIR>\game\main_menu\gfx\interface\illustrations\location\dock\aztec\aztec_dock1_metadata_os2654x440_d426x140_t.dds,replaced_ad1,mesoamerican,dock,main_menu\gfx\interface\illustrations\location\dock\aztec\aztec_dock1_metadata_os2654x440_d426x140_t.dds,767x186,60a8df5e03d39344a431af029179cf752e4066090bb5b361ea6ae32410b4b5f5,generated four-up against exact installed EU5 references
dock,gfx/interface/illustrations/location/dock/aztec/aztec_dock2_metadata_os2654x440_d426x140_t.dds,<GAME_DIR>\game\main_menu\gfx\interface\illustrations\location\dock\aztec\aztec_dock2_metadata_os2654x440_d426x140_t.dds,replaced_ad1,mesoamerican,dock,main_menu\gfx\interface\illustrations\location\dock\aztec\aztec_dock2_metadata_os2654x440_d426x140_t.dds,767x186,5b84559ee30ca7464924b6a9528acde84078cd17132dc3ca7b87e6a1a8ca65e1,generated four-up against exact installed EU5 references
dock,gfx/interface/illustrations/location/dock/aztec/aztec_dock3_metadata_os2654x440_d426x140_t.dds,<GAME_DIR>\game\main_menu\gfx\interface\illustrations\location\dock\aztec\aztec_dock3_metadata_os2654x440_d426x140_t.dds,replaced_ad1,mesoamerican,dock,main_menu\gfx\interface\illustrations\location\dock\aztec\aztec_dock3_metadata_os2654x440_d426x140_t.dds,767x186,5b84559ee30ca7464924b6a9528acde84078cd17132dc3ca7b87e6a1a8ca65e1,generated four-up against exact installed EU5 references
dock,gfx/interface/illustrations/location/dock/byzantium_dock1_metadata_os2654x440_d426x230.dds,<GAME_DIR>\game\dlc\D008_fate_of_the_phoenix\main_menu\gfx\interface\illustrations\location\dock\byzantium_dock1_metadata_os2654x440_d426x230.dds,replaced_ad1,roman,dock,main_menu\gfx\interface\illustrations\location\dock\byzantium_dock1_metadata_os2654x440_d426x230.dds,280x86,15085ab8de474da9d3029da3eda4d54cdb02c6c4602783406651b083765de49a,generated four-up against exact installed EU5 references
dock,gfx/interface/illustrations/location/dock/byzantium_dock2_metadata_os2654x440_d426x220.dds,<GAME_DIR>\game\dlc\D008_fate_of_the_phoenix\main_menu\gfx\interface\illustrations\location\dock\byzantium_dock2_metadata_os2654x440_d426x220.dds,replaced_ad1,roman,dock,main_menu\gfx\interface\illustrations\location\dock\byzantium_dock2_metadata_os2654x440_d426x220.dds,340x97,9ad291dd83bcf43978de75fc09b62aed7237d1186a6063cb64261d5e6cfd0771,generated four-up against exact installed EU5 references
dock,gfx/interface/illustrations/location/dock/byzantium_dock3_metadata_os2654x440_d426x190.dds,<GAME_DIR>\game\dlc\D008_fate_of_the_phoenix\main_menu\gfx\interface\illustrations\location\dock\byzantium_dock3_metadata_os2654x440_d426x190.dds,replaced_ad1,roman,dock,main_menu\gfx\interface\illustrations\location\dock\byzantium_dock3_metadata_os2654x440_d426x190.dds,488x127,1714801797f168b0ff205065a0db5fcf7becd07edb367bc4710d792e8dc9d35e,generated four-up against exact installed EU5 references
dock,gfx/interface/illustrations/location/dock/deccan/deccan_dock1_metadata_os2654x440_d426x140_t.dds,<GAME_DIR>\game\main_menu\gfx\interface\illustrations\location\dock\deccan\deccan_dock1_metadata_os2654x440_d426x140_t.dds,replaced_ad1,indian,dock,main_menu\gfx\interface\illustrations\location\dock\deccan\deccan_dock1_metadata_os2654x440_d426x140_t.dds,767x186,ddd3a0bc20084ab7023c18823ba945841a445ff8941505f814d155b70f089204,generated four-up against exact installed EU5 references
dock,gfx/interface/illustrations/location/dock/deccan/deccan_dock2_metadata_os2654x440_d426x140_t.dds,<GAME_DIR>\game\main_menu\gfx\interface\illustrations\location\dock\deccan\deccan_dock2_metadata_os2654x440_d426x140_t.dds,replaced_ad1,indian,dock,main_menu\gfx\interface\illustrations\location\dock\deccan\deccan_dock2_metadata_os2654x440_d426x140_t.dds,767x186,ddd3a0bc20084ab7023c18823ba945841a445ff8941505f814d155b70f089204,generated four-up against exact installed EU5 references
dock,gfx/interface/illustrations/location/dock/deccan/deccan_dock3_metadata_os2654x440_d426x140_t.dds,<GAME_DIR>\game\main_menu\gfx\interface\illustrations\location\dock\deccan\deccan_dock3_metadata_os2654x440_d426x140_t.dds,replaced_ad1,indian,dock,main_menu\gfx\interface\illustrations\location\dock\deccan\deccan_dock3_metadata_os2654x440_d426x140_t.dds,767x186,ddd3a0bc20084ab7023c18823ba945841a445ff8941505f814d155b70f089204,generated four-up against exact installed EU5 references
dock,gfx/interface/illustrations/location/dock/iroquois/iroquois_dock1_metadata_os2654x440_d426x140_t.dds,<GAME_DIR>\game\main_menu\gfx\interface\illustrations\location\dock\iroquois\iroquois_dock1_metadata_os2654x440_d426x140_t.dds,replaced_ad1,woodland,dock,main_menu\gfx\interface\illustrations\location\dock\iroquois\iroquois_dock1_metadata_os2654x440_d426x140_t.dds,767x186,534deab21577ee38041de41374dec9dceb6b090b1e2791ddd7f7b0bd3456199c,generated four-up against exact installed EU5 references
dock,gfx/interface/illustrations/location/dock/iroquois/iroquois_dock2_metadata_os2654x440_d426x140_t.dds,<GAME_DIR>\game\main_menu\gfx\interface\illustrations\location\dock\iroquois\iroquois_dock2_metadata_os2654x440_d426x140_t.dds,replaced_ad1,woodland,dock,main_menu\gfx\interface\illustrations\location\dock\iroquois\iroquois_dock2_metadata_os2654x440_d426x140_t.dds,767x186,52ec2b5a83418dd475b22a51f800a52a53554969568ccbf341707d3515747102,generated four-up against exact installed EU5 references
dock,gfx/interface/illustrations/location/dock/iroquois/iroquois_dock3_metadata_os2654x440_d426x140_t.dds,<GAME_DIR>\game\main_menu\gfx\interface\illustrations\location\dock\iroquois\iroquois_dock3_metadata_os2654x440_d426x140_t.dds,replaced_ad1,woodland,dock,main_menu\gfx\interface\illustrations\location\dock\iroquois\iroquois_dock3_metadata_os2654x440_d426x140_t.dds,767x186,52ec2b5a83418dd475b22a51f800a52a53554969568ccbf341707d3515747102,generated four-up against exact installed EU5 references
dock,gfx/interface/illustrations/location/dock/north_german/north_german_dock1_metadata_os2654x440_d426x140_t.dds,<GAME_DIR>\game\main_menu\gfx\interface\illustrations\location\dock\north_german\north_german_dock1_metadata_os2654x440_d426x140_t.dds,replaced_ad1,germanic_celtic,dock,main_menu\gfx\interface\illustrations\location\dock\north_german\north_german_dock1_metadata_os2654x440_d426x140_t.dds,767x186,e47c27d101db863d30a1530534b316478281298524397b2197769b087cdec913,generated four-up against exact installed EU5 references
dock,gfx/interface/illustrations/location/dock/north_german/north_german_dock2_metadata_os2654x440_d426x140_t.dds,<GAME_DIR>\game\main_menu\gfx\interface\illustrations\location\dock\north_german\north_german_dock2_metadata_os2654x440_d426x140_t.dds,replaced_ad1,germanic_celtic,dock,main_menu\gfx\interface\illustrations\location\dock\north_german\north_german_dock2_metadata_os2654x440_d426x140_t.dds,767x186,e47c27d101db863d30a1530534b316478281298524397b2197769b087cdec913,generated four-up against exact installed EU5 references
