tag,latitude,longitude,source,confidence
GAL,32.790,35.540,PLE;P8.1,secure
BAT,33.250,35.690,PLE;P8.1,secure
NAB,30.328,35.444,PLE;P8.1,secure
CAP,37.960,34.680,PLE;P8.1,secure
COM,37.530,38.470,PLE;P8.1,secure
EME,34.730,36.720,PLE;P8.1,secure
THR,42.620,25.320,PLE;P8.1,secure
BOS,45.35000,36.65000,PLE:854675;P8.1,contested
PAR,33.100,44.580,PLE;P8.2,secure
CHA,30.80934,47.56280,PLE:912872;P8.2,contested
PRS,29.935,52.891,PLE;P8.2,secure
ATR,37.01226,46.20188,PLE:884148;P8.2,contested
ADI,36.190,44.010,PLE;P8.2,secure
GOR,37.68270,42.20054,PLE:874488;P8.2,contested
ARM,39.880,44.580,PLE;P8.2,secure
CLZ,42.160,41.670,PLE;P8.2,secure
ALC,40.980,47.840,PLE;P8.2,secure
GOG,41.150,126.200,SAM;P8.3,secure
ISK,33.74569,72.81521,PLE:60083;P8.4,contested
CHL,10.840,78.720,PLE;P8.4,secure
KUS,16.940,33.750,PLE;P8.5,secure
BLM,23.60976,32.76937,PLE:795868;P8.5,secure
GAR,26.550,13.000,PLE;P8.5,secure
HIM,14.200,44.400,PLE;P8.6,secure
KIN,20.100,45.100,PLE;P8.6,secure
BTV,51.84167,5.85867,PLE:98921;P8.7,secure
ICE,52.58348,1.29097,PLE:79735;P8.7,secure
BRI,54.09063,-1.38334,PLE:89209;P8.7,secure
ATB,51.35720,-1.08239,PLE:79368;P8.7,secure
SIL,51.61112,-2.76804,PLE:79733;P8.7,secure
CAL,57.05217,-3.89287,PLE:89132;P8.7,secure
