location,engine_excess_people,capacity_bonus_thousands
abha,31001,35
abil,31109,35
abu_dhabi,15206,20
abu_qasr,10033,15
abu_rakah,15741,20
ad_dawasir,13974,20
ad_dughmiyah,31620,35
adan,15874,20
adham,32635,75
afif,1369,2
agsu,25516,30
ahwar,2585,5
al_abala,3175,5
al_abwa,8574,10
al_ahmar,6223,15
al_ais,4265,5
al_ajfar,32488,40
al_amlah,31496,35
al_amwah,30254,35
al_arah,12306,15
al_ayn,11826,15
al_ayn_khaybar,14722,20
al_aythamah,1602,2
al_azlam,15664,20
al_bad,4712,10
al_baharah,1520,2
al_bayda_yemen,1474,2
al_bleiteh,32832,40
al_burud,31319,35
al_dhaid,15453,20
al_farah_ula,4678,10
al_fuqarah,1484,2
al_furaish,16633,20
al_ghat,1660,2
al_ghazalah,1875,5
al_ghulayfiqah,12655,15
al_hadhah,31620,35
al_hajr,14577,20
al_hamad,5273,10
al_harjah,15261,20
al_harrah,23158,30
al_hawra,5421,10
al_hegrieah,32259,40
al_hinakiyah,14440,20
al_hirda,12980,15
al_hisu,14459,20
al_hufayr,2003,5
al_hufayrah,1218,2
al_husayniyah,31907,40
al_huwaila,15518,20
al_huwayyit,119,1
al_jubayl,6016,10
al_jumum,38741,50
al_kamil_wal_wafi,8790,10
al_khaburah,2350,5
al_khanbarah,32208,40
al_kharabah,1032,2
al_khosuf,3236,5
al_khuraybah,14731,20
al_labbah,22950,30
al_laghfiyyah,10,1
al_lith,6155,10
al_luhayyah,136,1
al_maddah,13536,15
al_maghib,1484,2
al_mahani,31527,35
al_mahjal,16282,40
al_majazah,8705,10
al_majmaah,13922,20
al_mandab,12306,15
al_manjur,34950,100
al_maramiyah,4449,5
al_mardamah,3743,5
al_marwa,34439,40
al_mashqar,35845,40
al_maslum,13583,15
al_mithnab,12330,15
al_muazzam,15366,20
al_mukha,15552,20
al_mundassah,1343,2
al_muthainiyah,3702,10
al_muwaylih,5968,10
al_qaiyah,1840,5
al_qara,3041,10
al_qatif,15811,20
al_qunfudhah,3793,5
al_quway,3841,5
al_shihr,2860,5
al_shuqayq,3515,5
al_sirrayn,13843,20
al_suman,9594,15
al_thamad,14565,20
al_thulayma,10014,15
al_udayd,7582,10
al_ukhaydir,2478,5
al_uqayr,15505,20
al_uyayna,22381,25
al_wajh,3480,5
al_waqbi,22738,30
al_yamamah,8896,10
alaverdi,14596,20
allpas,8556,35
an_nabhaniyah,13115,15
an_nakhil,31303,35
an_nasifah,10229,15
an_nibaj,13297,15
an_nuhaytiyyah,13052,15
ar_rabadha,31975,40
ar_rass,13024,15
ar_rawdah,3848,5
ar_rayn,1465,2
ar_rukai,9796,15
ar_ruwailiyyah,30934,35
arar,2853,5
aresh,25428,30
arguvan,10819,15
arrayda,2245,5
aruni,28610,75
as_salafiyah,14443,50
as_salif,28051,35
as_sib,1754,2
as_sulaymi,13157,15
as_suwaydirah,32406,40
as_suwayriqiyah,31741,35
asfan,14115,20
ash_shamli,14831,20
ash_shaqiqah,903,1
ash_shibahah,4811,10
ash_shuara,31902,40
ash_shuaybah,18927,25
ash_shuaybah_hail,2154,5
asila_arabia,14427,20
at_tarfawi,2469,5
axawiri,5608,10
aynuna,8342,10
az_zilfi,234,1
az_zubayir,2115,5
azzan,1446,2
bab_kot,1016,2
bada_yaqub,17065,20
badr_hunayn,3196,5
bahla,3851,5
bajdah,4393,5
baku,407,1
balakan,3643,5
balhaf,35444,40
bani_saad,31379,35
baqa,15017,20
baqqa,12345,15
barahrah,32389,40
baraqish,56,1
barda,25396,30
bariq,15439,20
batumi,8073,10
bayannur,70,1
beden,17565,20
bedia,8417,10
bekarlar,27834,35
bilasuvar,2425,5
bilghah,1535,2
bir_al_qurr,4014,5
bir_fajr,15427,20
bir_ibn_hermas,15607,20
birali,7150,10
bogazliyan,12316,15
buraydah,252,1
buwat,33862,40
calamarca,12008,20
candir_cil,1822,5
cantamarca,863,2
challwanqa,11891,75
chicaquicha,3469,5
chimu,3212,5
choccalpata,6045,10
chuqiyapu,29369,150
churkampa,16267,60
colquechaca,1661,5
comana_cil,35251,40
corum,12615,15
darende,45729,150
darghat,30737,35
dawbah,13006,15
delijan,3070,10
deodar,210,1
develi,14808,20
dha_sohis,5523,10
dhahran,3425,10
dhalam,14062,20
dhamar,3460,5
dhat_al_hajj,33164,40
dhat_irq,5927,15
dhi_ain,2065,5
dhurma,14459,20
diriyah,31397,35
dolpo,614,5
duba,5856,10
dubai,15360,20
dubbi,579,1
dusheti,9388,15
dyrnes,1827,5
egin,15007,20
eglat_faisal,15414,20
einarsfjord,5237,10
elbistan,13746,20
elhovo,18805,25
enguzud,13653,20
ermenek,6140,10
fadak,185,1
farasan,416,1
gadegara,15650,20
gagi,11408,15
gandava,1047,2
gaotai,3006,5
gemerek,43126,50
gerger,1835,5
germi,25218,30
ghumayqah,1845,5
goksun,13705,20
goychay,7328,10
gremi,3729,5
gumus,29559,35
habban,14598,20
habiyah,802,1
hacibektas,14993,20
hafar_al_batin,21867,25
hafik,15118,20
hail,32523,40
hajar,1696,2
hajjah,30390,75
halaban,14389,20
hali,33300,40
haql,28683,35
hargan,32279,40
harib,12885,15
hatunqulla,30240,50
hays,12514,15
huanzhou_qingyang,2460,5
huarochiri,3748,5
hudaida,2828,5
huraydah,32300,40
huth,32497,40
hvalsey,1664,2
ibb,5822,15
ibra,39347,50
ibri,8937,10
ica,25305,30
igdir,5812,10
illapa,445,1
incahuasi,25749,60
iskilip,29495,35
izki,11147,15
jalan_buani_buali,14458,20
jarrarah,22406,25
javad,3258,5
jazan,13231,15
jingzhao,301000,400
juban,3829,10
jubbah,4361,5
julfar,2965,5
jurrah,32062,40
kaf,10955,15
kagizman,9873,20
kapan,30701,35
kawkaban,19676,50
kayseri,31259,35
kazimah,19095,25
khalfut,7546,10
khalis_medina,5864,10
khamir,17458,40
khaybar_janoub,598,1
khayrij,7330,10
khor_fakkan,2745,5
khulays,14186,20
khunani,1063,2
khurays,11840,15
kirsehir,12316,15
kostenets,29943,35
koyulhisar,15233,20
kran,32822,40
kuyu_shazhou,3246,5
ladik_pontus,29520,35
lahj,3710,5
laila,8540,10
lemberan,10009,15
linah,9818,15
liwa,11368,15
llacsapallanca,8546,35
llucho,4964,10
lowqah,12280,15
lundey,504,1
luoyang,25624,30
macaya,24411,30
madin_bani_sulaym,3598,5
mahmudabad,18157,20
main,1931,5
makna,10504,15
malatya,3028,5
malham,1773,2
manama,15692,20
marawah,3224,5
maraza,418,1
markha,16071,40
mashdhubah,9553,15
masirah,6628,10
masqat,19156,25
mawqaq,31685,35
mawza,17208,40
mayuragiri,1834,5
mecca,2696,5
merv,10389,15
merzifon,20624,25
mikhlaf_al_hubishiyah,17297,40
mirbat,3346,5
miskah,32039,40
mithri,8610,10
molevon,2024,5
mudhaykirah,3083,10
mughayra,15137,20
muhayil,1956,5
murayghan,1356,2
muwayh,1019,2
muzahmiyah,1585,2
naam,16264,20
najran,3390,10
nakhal,4968,10
nevsehir,43045,50
nianbo,2433,5
nifi,1542,2
nigde,20099,25
nisab,3115,10
nita_arabia,22473,25
niyazabad,6215,10
oltu,3332,10
pakatnamu,1574,2
paramonga,12017,15
paribari,9785,15
payzawat,1069,2
perperek,3618,5
phalvardhika,1162,2
pisaq,8848,35
pitsunda,8903,10
punial,6403,20
qalat_bishah,836,1
qalhat,22990,30
qaryat_ulya,9575,15
qasr_al_qaba,31642,35
qasr_himam,21269,25
qidaban,12038,75
qilian,5789,40
qobustan,192,1
qurain,15966,20
qurayyat_al_milh,2995,5
qusqu,16467,40
rachakonda,2855,5
raghdan,34140,100
rajabar,6784,10
rakhyah,1816,2
ramah,14408,20
ramgar,467,1
ranyah,30663,35
rawdat_al_ard,14383,20
rayachoti,1743,2
raysut,26546,50
rey,31375,35
rijal_almaa,17649,40
rome,264000,300
rumah,2223,5
rusokastro,11996,15
rustaq,4979,10
rustavi,14178,20
sabt_bani_bishr,4170,10
sabya,13278,15
sadah,30791,35
saham,14997,20
sakaka,22984,30
samakh,2559,5
samira,30734,35
sana_yemen,8045,10
saqra,14549,20
sara,1945,5
sardarshahar,1339,2
sariyahsi,43120,50
sarkajpa,5487,10
sarkisla,15044,20
sausaya,30162,100
sayhat,5776,10
shabran,734,1
shaharah,17505,40
shajwa,33936,40
shibam,1899,5
shirvan,18559,25
shusha,12504,15
sicasica,5944,10
sir_bani_yas,15172,20
sivas,20741,50
smolyan,6992,10
sozopol,11915,15
stanimaka,28463,35
sufaynah,1205,2
suhar,1102,2
sui_pakistan,1040,2
sulusaray,20468,25
sungurlu,15206,20
suq_al_ghinan,2102,5
sur,53909,60
surmali,5853,10
tabalah,773,1
tabriz,12446,15
tabuk_arabia,2563,5
taif,30585,35
taizz,5795,15
tampu_machay,8525,35
tantaricuy,25253,60
tanumah,14902,20
tarim,1953,5
tathlith,3013,5
tatrang,751,1
tayma,4322,5
teyuna,21733,25
thadij,178,1
thadiq,1804,2
thula,1696,5
tokat,29354,35
tomarza,43012,50
tsagvli,21850,25
tsepina,14816,20
turbah,1017,2
udakh,1590,2
ulnia,27812,35
umluj,15214,20
umm_ad_dawm,14005,20
umm_al_ghiran,1176,2
umm_al_qulban,2067,5
unaizah,2392,5
upolu,17679,20
urayrah,9657,15
urgup,29478,35
urupampa,8844,35
ustra,22655,25
uyun_al_jiwa,1852,5
van,9582,15
vartsikhe,3747,5
viacha,11975,20
wankani,33085,150
waqrapukara,33612,150
wari_peru,21262,75
yabrin,11498,15
yadamah,5786,15
yahr,31999,75
yahyali,14784,20
yalamlam,1857,5
yanahuara,8686,35
yanal_densa,6137,50
yanbu,4728,10
yanbu_an_nakhil,8768,10
yanqul,16486,20
yerevan,13841,20
zabid,12545,15
zakho,717,1
zara,15118,20
zardab,3283,5
zinjibar,12396,15
zubala,22122,25
zubarah,18604,25
