location,initial_bonus_thousands,residual_excess_people,effective_capacity_rate,final_bonus_thousands
adham,40,10235,0.560000,75
al_ahmar,10,523,0.570000,15
al_mahjal,20,5082,0.560000,40
al_manjur,40,13150,0.545000,100
al_muthainiyah,5,852,0.570000,10
al_qara,5,241,0.560000,10
allpas,10,5256,0.330000,35
aruni,35,9430,0.548000,75
as_salafiyah,20,2243,0.610000,50
calamarca,15,278,0.782000,20
cantamarca,1,303,0.560000,2
challwanqa,15,8441,0.230000,75
chuqiyapu,35,19499,0.282000,150
churkampa,20,8667,0.380000,60
colquechaca,2,549,0.556000,5
darende,60,14169,0.526000,150
delijan,5,445,0.525000,10
dhahran,5,625,0.560000,10
dhat_irq,10,227,0.570000,15
dolpo,1,329,0.285000,5
hajjah,35,10790,0.560000,75
hatunqulla,35,2975,0.779000,50
ibb,10,222,0.560000,15
incahuasi,30,8949,0.560000,60
juban,5,1029,0.560000,10
kagizman,15,108,0.651000,20
kawkaban,25,5676,0.560000,50
khamir,20,6258,0.560000,40
llacsapallanca,10,5246,0.330000,35
markha,20,4871,0.560000,40
mawza,20,6008,0.560000,40
mikhlaf_al_hubishiyah,20,6097,0.560000,40
mudhaykirah,5,283,0.560000,10
najran,5,590,0.560000,10
nisab,5,315,0.560000,10
oltu,5,332,0.600000,10
pisaq,10,5628,0.322000,35
punial,10,1153,0.525000,20
qidaban,15,8963,0.205000,75
qilian,10,3739,0.205000,40
qusqu,20,5967,0.525000,40
raghdan,40,11740,0.560000,100
raysut,30,2246,0.810000,50
rijal_almaa,20,6449,0.560000,40
sabt_bani_bishr,5,1370,0.560000,10
sausaya,35,15147,0.429000,100
shaharah,20,6305,0.560000,40
sivas,25,5091,0.626000,50
taizz,10,195,0.560000,15
tampu_machay,10,5225,0.330000,35
tantaricuy,30,8453,0.560000,60
thula,2,576,0.560000,5
urupampa,10,5624,0.322000,35
viacha,15,245,0.782000,20
wankani,40,17925,0.379000,150
waqrapukara,40,20692,0.323000,150
wari_peru,25,10462,0.432000,75
yadamah,10,186,0.560000,15
yahr,40,9599,0.560000,75
yanahuara,10,5406,0.328000,35
yanal_densa,10,4287,0.185000,50
