tag,geography,tenure,source,confidence,note
ROM,balkan_region,own_control_core,P8.1;CAH-XI,contested,Residual Roman provincial and island frame after reviewed clients
AES,baltic_region,own_control_core,P8.7;CAH-XI,contested,Residual Baltic SoP frame after named frontier anchors
DAC,carpathia_region,own_control_core,P8.7;CAH-XI,contested,Residual Dacian and Carpathian frame after named groups
CAU,caucasus_region,own_control_core,P8.2;CAH-XI,contested,Residual Caucasian highland SoP frame
VEN,russian_region,own_control_core,P8.7;CAH-XI,contested,Residual Venedi and eastern-Slavic SoP frame
VEN,ruthenia_region,own_control_core,P8.7;CAH-XI,contested,Residual Venedi and eastern-Slavic SoP frame
ROX,steppes_region,own_control_core,P8.7;CAH-XI,contested,Residual Pontic Sarmatian frame
FIN,ural_region,own_control_core,P8.7;CAH-XI,contested,Residual Finnic and Uralic SoP frame
BRT,great_britain_region,own_control_core,P8.7;CAH-XI,contested,Residual Brittonic SoP frame after named British polities
GER,north_german_region,own_control_core,P8.7;CAH-XI,contested,Residual Germanic SoP frame after named groups
GER,south_german_region,own_control_core,P8.7;CAH-XI,contested,Residual Germanic SoP frame after named groups
SUI,scandinavian_region,own_control_core,P8.7;CAH-XI,contested,Residual Scandinavian SoP frame
OAS,khorasan_region,own_control_core,P8.8;CAH-XI;CHG,contested,Residual Inner Asian oasis and steppe interface frame
WAA,japan_region,own_control_core,P8.3;CAH-XI,contested,Residual Yayoi Wa SoP frame
KRS,korea_region,own_control_core,P8.3;SAM,contested,Residual Korean peninsula SoP frame after named polities
MNC,manchuria_region,own_control_core,P8.3;CAH-XI,contested,Residual Manchurian SoP frame
XIO,mongolia_region,own_control_core,P8.3;CAH-XI,contested,Residual Xiongnu steppe frame after Xianbei and Dingling anchors
TIB,tibet_region,own_control_core,P8.8;CAH-XI,contested,Residual Tibetan plateau SoP frame
OAS,xinjiang_region,own_control_core,P8.3;P8.8;CHG,contested,Residual oasis SoP frame after Tarim city-state anchors
BED,arabia_region,own_control_core,P8.6;CAH-XI,contested,Residual interior Bedouin SoP frame after named states
PAR,crescent_region,own_control_core,P8.2;CAH-XI,contested,Residual Arsacid and sub-king framework
PAR,persia_region,own_control_core,P8.2;CAH-XI,contested,Residual Arsacid and sub-king framework
SIB,west_siberia_region,own_control_core,P8.8;CAH-XI,contested,Residual western Siberian SoP frame
GNG,bengal_region,own_control_core,P8.4;CAH-XI,contested,Residual Gangetic SoP frame
CIN,central_india_region,own_control_core,P8.4;CAH-XI,contested,Residual central Indian SoP frame
CIN,deccan_region,own_control_core,P8.4;CAH-XI,contested,Residual central and Deccan SoP frame after named states
GNG,hindustan_region,own_control_core,P8.4;CAH-XI,contested,Residual Gangetic SoP frame after named states
RJS,western_india_region,own_control_core,P8.4;CAH-XI,contested,Residual Rajasthan-Gujarat SoP frame
SEA,indochina_region,own_control_core,P8.9;CAH-XI,contested,Residual mainland Southeast Asian SoP frame after named city networks
INS,indonesia_region,own_control_core,P8.9;CAH-XI,contested,Residual island Southeast Asian SoP frame after named island societies
BEJ,nubia_region,own_control_core,P8.5;CAH-XI,contested,Residual eastern-desert and Nubian SoP frame
BER,maghreb_region,own_control_core,P8.5;CAH-XI,contested,Residual Berber and Gaetulian SoP frame
WAF,sahel_region,own_control_core,P8.5;CAH-XI,contested,Residual West African iron-age SoP frame
MSS,mesoamerica_region,own_control_core,P8.10;CAH-XI,contested,Residual Mesoamerican SoP frame after named centres
AND,andes_region,own_control_core,P8.10;CAH-XI,contested,Residual Andean SoP frame after named centres
MEL,melanesia_region,own_control_core,P8.9;CAH-XI,contested,Melanesian SoP frame
MIC,micronesia_region,own_control_core,P8.9;CAH-XI,contested,Micronesian SoP frame
