# Generated by tools/ownership_map.py --write; do not edit.
tag,engine_tag,location,tenure,source,confidence,note
ADI,ADI,erbil,own_control_core,P8.2;OCD;PLE,secure,Adiabene capital proxy
AES,AES,aizkraukle,own_control_core,P8.7;CAH-XI,contested,Residual Baltic SoP frame after named frontier anchors
AES,AES,aluksne,own_control_core,P8.7;CAH-XI,contested,Residual Baltic SoP frame after named frontier anchors
AES,AES,balga,own_control_core,P8.7;CAH-XI,contested,Residual Baltic SoP frame after named frontier anchors
AES,AES,barten,own_control_core,P8.7;CAH-XI,contested,Residual Baltic SoP frame after named frontier anchors
AES,AES,bauska,own_control_core,P8.7;CAH-XI,contested,Residual Baltic SoP frame after named frontier anchors
AES,AES,biala_rawska,own_control_core,P8.7;CAH-XI,contested,Residual Baltic SoP frame after named frontier anchors
AES,AES,bialobork,own_control_core,P8.7;CAH-XI,contested,Residual Baltic SoP frame after named frontier anchors
AES,AES,bielsk_podlaski,own_control_core,P8.7;CAH-XI,contested,Residual Baltic SoP frame after named frontier anchors
AES,AES,bielsko,own_control_core,P8.7;CAH-XI,contested,Residual Baltic SoP frame after named frontier anchors
AES,AES,boleslawiec,own_control_core,P8.7;CAH-XI,contested,Residual Baltic SoP frame after named frontier anchors
AES,AES,brandenburg_prussia,own_control_core,P8.7;CAH-XI,contested,Residual Baltic SoP frame after named frontier anchors
AES,AES,brodnica,own_control_core,P8.7;CAH-XI,contested,Residual Baltic SoP frame after named frontier anchors
AES,AES,brzeg,own_control_core,P8.7;CAH-XI,contested,Residual Baltic SoP frame after named frontier anchors
AES,AES,bytom,own_control_core,P8.7;CAH-XI,contested,Residual Baltic SoP frame after named frontier anchors
AES,AES,cesis,own_control_core,P8.7;CAH-XI,contested,Residual Baltic SoP frame after named frontier anchors
AES,AES,chelmno,own_control_core,P8.7;CAH-XI,contested,Residual Baltic SoP frame after named frontier anchors
AES,AES,ciechanow,own_control_core,P8.7;CAH-XI,contested,Residual Baltic SoP frame after named frontier anchors
AES,AES,czersk,own_control_core,P8.7;CAH-XI,contested,Residual Baltic SoP frame after named frontier anchors
AES,AES,czluchow,own_control_core,P8.7;CAH-XI,contested,Residual Baltic SoP frame after named frontier anchors
AES,AES,daugavpils,own_control_core,P8.7;CAH-XI,contested,Residual Baltic SoP frame after named frontier anchors
AES,AES,dobele,own_control_core,P8.7;CAH-XI,contested,Residual Baltic SoP frame after named frontier anchors
AES,AES,drohiczyn,own_control_core,P8.7;CAH-XI,contested,Residual Baltic SoP frame after named frontier anchors
AES,AES,dundaga,own_control_core,P8.7;CAH-XI,contested,Residual Baltic SoP frame after named frontier anchors
AES,AES,durbe,own_control_core,P8.7;CAH-XI,contested,Residual Baltic SoP frame after named frontier anchors
AES,AES,dzierzgon,own_control_core,P8.7;CAH-XI,contested,Residual Baltic SoP frame after named frontier anchors
AES,AES,elblag,own_control_core,P8.7;CAH-XI,contested,Residual Baltic SoP frame after named frontier anchors
AES,AES,elk,own_control_core,P8.7;CAH-XI,contested,Residual Baltic SoP frame after named frontier anchors
AES,AES,fischhausen,own_control_core,P8.7;CAH-XI,contested,Residual Baltic SoP frame after named frontier anchors
AES,AES,frombork,own_control_core,P8.7;CAH-XI,contested,Residual Baltic SoP frame after named frontier anchors
AES,AES,fryvaldov,own_control_core,P8.7;CAH-XI,contested,Residual Baltic SoP frame after named frontier anchors
AES,AES,gabin,own_control_core,P8.7;CAH-XI,contested,Residual Baltic SoP frame after named frontier anchors
AES,AES,garwolin,own_control_core,P8.7;CAH-XI,contested,Residual Baltic SoP frame after named frontier anchors
AES,AES,gerdauen,own_control_core,P8.7;CAH-XI,contested,Residual Baltic SoP frame after named frontier anchors
AES,AES,glogow,own_control_core,P8.7;CAH-XI,contested,Residual Baltic SoP frame after named frontier anchors
AES,AES,glubczyce,own_control_core,P8.7;CAH-XI,contested,Residual Baltic SoP frame after named frontier anchors
AES,AES,gniew,own_control_core,P8.7;CAH-XI,contested,Residual Baltic SoP frame after named frontier anchors
AES,AES,goniadz,own_control_core,P8.7;CAH-XI,contested,Residual Baltic SoP frame after named frontier anchors
AES,AES,gora,own_control_core,P8.7;CAH-XI,contested,Residual Baltic SoP frame after named frontier anchors
AES,AES,gostynin,own_control_core,P8.7;CAH-XI,contested,Residual Baltic SoP frame after named frontier anchors
AES,AES,grobina,own_control_core,P8.7;CAH-XI,contested,Residual Baltic SoP frame after named frontier anchors
AES,AES,grodkow,own_control_core,P8.7;CAH-XI,contested,Residual Baltic SoP frame after named frontier anchors
AES,AES,grojec,own_control_core,P8.7;CAH-XI,contested,Residual Baltic SoP frame after named frontier anchors
AES,AES,grudziadz,own_control_core,P8.7;CAH-XI,contested,Residual Baltic SoP frame after named frontier anchors
AES,AES,gulbene,own_control_core,P8.7;CAH-XI,contested,Residual Baltic SoP frame after named frontier anchors
AES,AES,gumbinnen,own_control_core,P8.7;CAH-XI,contested,Residual Baltic SoP frame after named frontier anchors
AES,AES,hapsal,own_control_core,P8.7;CAH-XI,contested,Residual Baltic SoP frame after named frontier anchors
AES,AES,hlucin,own_control_core,P8.7;CAH-XI,contested,Residual Baltic SoP frame after named frontier anchors
AES,AES,insterburg,own_control_core,P8.7;CAH-XI,contested,Residual Baltic SoP frame after named frontier anchors
AES,AES,jawor,own_control_core,P8.7;CAH-XI,contested,Residual Baltic SoP frame after named frontier anchors
AES,AES,jekabpils,own_control_core,P8.7;CAH-XI,contested,Residual Baltic SoP frame after named frontier anchors
AES,AES,jelgava,own_control_core,P8.7;CAH-XI,contested,Residual Baltic SoP frame after named frontier anchors
AES,AES,kaina,own_control_core,P8.7;CAH-XI,contested,Residual Baltic SoP frame after named frontier anchors
AES,AES,kamieniec,own_control_core,P8.7;CAH-XI,contested,Residual Baltic SoP frame after named frontier anchors
AES,AES,kamienna_gora,own_control_core,P8.7;CAH-XI,contested,Residual Baltic SoP frame after named frontier anchors
AES,AES,kandava,own_control_core,P8.7;CAH-XI,contested,Residual Baltic SoP frame after named frontier anchors
AES,AES,karksi,own_control_core,P8.7;CAH-XI,contested,Residual Baltic SoP frame after named frontier anchors
AES,AES,kluczbork,own_control_core,P8.7;CAH-XI,contested,Residual Baltic SoP frame after named frontier anchors
AES,AES,koknese,own_control_core,P8.7;CAH-XI,contested,Residual Baltic SoP frame after named frontier anchors
AES,AES,kolno,own_control_core,P8.7;CAH-XI,contested,Residual Baltic SoP frame after named frontier anchors
AES,AES,konigsberg,own_control_core,P8.7;CAH-XI,secure,Sambia anchor
AES,AES,koscierzyna,own_control_core,P8.7;CAH-XI,contested,Residual Baltic SoP frame after named frontier anchors
AES,AES,kozle,own_control_core,P8.7;CAH-XI,contested,Residual Baltic SoP frame after named frontier anchors
AES,AES,kozuchow,own_control_core,P8.7;CAH-XI,contested,Residual Baltic SoP frame after named frontier anchors
AES,AES,kraslava,own_control_core,P8.7;CAH-XI,contested,Residual Baltic SoP frame after named frontier anchors
AES,AES,krnov,own_control_core,P8.7;CAH-XI,contested,Residual Baltic SoP frame after named frontier anchors
AES,AES,krosno_odrzanskie,own_control_core,P8.7;CAH-XI,contested,Residual Baltic SoP frame after named frontier anchors
AES,AES,kuldiga,own_control_core,P8.7;CAH-XI,contested,Residual Baltic SoP frame after named frontier anchors
AES,AES,kuressaare,own_control_core,P8.7;CAH-XI,contested,Residual Baltic SoP frame after named frontier anchors
AES,AES,kwidzyn,own_control_core,P8.7;CAH-XI,contested,Residual Baltic SoP frame after named frontier anchors
AES,AES,labiau,own_control_core,P8.7;CAH-XI,contested,Residual Baltic SoP frame after named frontier anchors
AES,AES,legnica,own_control_core,P8.7;CAH-XI,contested,Residual Baltic SoP frame after named frontier anchors
AES,AES,lidzbark,own_control_core,P8.7;CAH-XI,contested,Residual Baltic SoP frame after named frontier anchors
AES,AES,lihula,own_control_core,P8.7;CAH-XI,contested,Residual Baltic SoP frame after named frontier anchors
AES,AES,limbazi,own_control_core,P8.7;CAH-XI,contested,Residual Baltic SoP frame after named frontier anchors
AES,AES,liw,own_control_core,P8.7;CAH-XI,contested,Residual Baltic SoP frame after named frontier anchors
AES,AES,lomza,own_control_core,P8.7;CAH-XI,contested,Residual Baltic SoP frame after named frontier anchors
AES,AES,lubawa,own_control_core,P8.7;CAH-XI,contested,Residual Baltic SoP frame after named frontier anchors
AES,AES,lubliniec,own_control_core,P8.7;CAH-XI,contested,Residual Baltic SoP frame after named frontier anchors
AES,AES,makonkalns,own_control_core,P8.7;CAH-XI,contested,Residual Baltic SoP frame after named frontier anchors
AES,AES,malbork,own_control_core,P8.7;CAH-XI,contested,Residual Baltic SoP frame after named frontier anchors
AES,AES,memel,own_control_core,P8.7;CAH-XI,contested,Residual Baltic SoP frame after named frontier anchors
AES,AES,mielnik,own_control_core,P8.7;CAH-XI,contested,Residual Baltic SoP frame after named frontier anchors
AES,AES,milicz,own_control_core,P8.7;CAH-XI,contested,Residual Baltic SoP frame after named frontier anchors
AES,AES,mirochowo,own_control_core,P8.7;CAH-XI,contested,Residual Baltic SoP frame after named frontier anchors
AES,AES,morag,own_control_core,P8.7;CAH-XI,contested,Residual Baltic SoP frame after named frontier anchors
AES,AES,namyslow,own_control_core,P8.7;CAH-XI,contested,Residual Baltic SoP frame after named frontier anchors
AES,AES,narva,own_control_core,P8.7;CAH-XI,contested,Residual Baltic SoP frame after named frontier anchors
AES,AES,nibork,own_control_core,P8.7;CAH-XI,contested,Residual Baltic SoP frame after named frontier anchors
AES,AES,niemcza,own_control_core,P8.7;CAH-XI,contested,Residual Baltic SoP frame after named frontier anchors
AES,AES,niemodlin,own_control_core,P8.7;CAH-XI,contested,Residual Baltic SoP frame after named frontier anchors
AES,AES,nowe,own_control_core,P8.7;CAH-XI,contested,Residual Baltic SoP frame after named frontier anchors
AES,AES,nur,own_control_core,P8.7;CAH-XI,contested,Residual Baltic SoP frame after named frontier anchors
AES,AES,nysa,own_control_core,P8.7;CAH-XI,contested,Residual Baltic SoP frame after named frontier anchors
AES,AES,olawa,own_control_core,P8.7;CAH-XI,contested,Residual Baltic SoP frame after named frontier anchors
AES,AES,olesnica,own_control_core,P8.7;CAH-XI,contested,Residual Baltic SoP frame after named frontier anchors
AES,AES,olesno,own_control_core,P8.7;CAH-XI,contested,Residual Baltic SoP frame after named frontier anchors
AES,AES,olsztyn,own_control_core,P8.7;CAH-XI,contested,Residual Baltic SoP frame after named frontier anchors
AES,AES,opava,own_control_core,P8.7;CAH-XI,contested,Residual Baltic SoP frame after named frontier anchors
AES,AES,opole,own_control_core,P8.7;CAH-XI,contested,Residual Baltic SoP frame after named frontier anchors
AES,AES,ostroda,own_control_core,P8.7;CAH-XI,contested,Residual Baltic SoP frame after named frontier anchors
AES,AES,ostroleka,own_control_core,P8.7;CAH-XI,contested,Residual Baltic SoP frame after named frontier anchors
AES,AES,padise,own_control_core,P8.7;CAH-XI,contested,Residual Baltic SoP frame after named frontier anchors
AES,AES,paide,own_control_core,P8.7;CAH-XI,contested,Residual Baltic SoP frame after named frontier anchors
AES,AES,parnu,own_control_core,P8.7;CAH-XI,contested,Residual Baltic SoP frame after named frontier anchors
AES,AES,pietalava,own_control_core,P8.7;CAH-XI,contested,Residual Baltic SoP frame after named frontier anchors
AES,AES,piltene,own_control_core,P8.7;CAH-XI,contested,Residual Baltic SoP frame after named frontier anchors
AES,AES,plock,own_control_core,P8.7;CAH-XI,contested,Residual Baltic SoP frame after named frontier anchors
AES,AES,plonsk,own_control_core,P8.7;CAH-XI,contested,Residual Baltic SoP frame after named frontier anchors
AES,AES,poltsamaa,own_control_core,P8.7;CAH-XI,contested,Residual Baltic SoP frame after named frontier anchors
AES,AES,prudnik,own_control_core,P8.7;CAH-XI,contested,Residual Baltic SoP frame after named frontier anchors
AES,AES,przasnysz,own_control_core,P8.7;CAH-XI,contested,Residual Baltic SoP frame after named frontier anchors
AES,AES,pszczyna,own_control_core,P8.7;CAH-XI,contested,Residual Baltic SoP frame after named frontier anchors
AES,AES,puck,own_control_core,P8.7;CAH-XI,contested,Residual Baltic SoP frame after named frontier anchors
AES,AES,raciborz,own_control_core,P8.7;CAH-XI,contested,Residual Baltic SoP frame after named frontier anchors
AES,AES,ragnit,own_control_core,P8.7;CAH-XI,contested,Residual Baltic SoP frame after named frontier anchors
AES,AES,rakvere,own_control_core,P8.7;CAH-XI,contested,Residual Baltic SoP frame after named frontier anchors
AES,AES,rapla,own_control_core,P8.7;CAH-XI,contested,Residual Baltic SoP frame after named frontier anchors
AES,AES,rauna,own_control_core,P8.7;CAH-XI,contested,Residual Baltic SoP frame after named frontier anchors
AES,AES,rezekne,own_control_core,P8.7;CAH-XI,contested,Residual Baltic SoP frame after named frontier anchors
AES,AES,riga,own_control_core,P8.7;CAH-XI,contested,Residual Baltic SoP frame after named frontier anchors
AES,AES,rozan,own_control_core,P8.7;CAH-XI,contested,Residual Baltic SoP frame after named frontier anchors
AES,AES,rychbach,own_control_core,P8.7;CAH-XI,contested,Residual Baltic SoP frame after named frontier anchors
AES,AES,ryn_poland,own_control_core,P8.7;CAH-XI,contested,Residual Baltic SoP frame after named frontier anchors
AES,AES,saarde,own_control_core,P8.7;CAH-XI,contested,Residual Baltic SoP frame after named frontier anchors
