# Source: Pleiades places CSV snapshot downloaded 2026-07-19; candidates require human-agent review.
tag,historical_capital,roster_source,pleiades_candidates
BAT,Caesarea Philippi,P8.1;OCD,"Helge/Caesarea Germanice [40.17725495,28.9050992; precise; -330.0,640.0; /places/511267; 0.73]; Anazarbos/Caesarea/Ioustin(ian)oupolis [37.256021,35.898447; precise; -330.0,2100.0; /places/658378; 0.70]; Mazaka/Eusebeia/Caesarea [38.72640055,35.4743607; precise; -1200.0,2000.0; /places/629035; 0.70]; Stratonos Pyrgos/Caesarea [32.5018388,34.8924472; precise; -330.0,2100.0; /places/678401; 0.70]; Caesarea Mithraeum [32.4991,34.8941; precise; -30.0,2099.0; /places/791438655; 0.67]"
BOS,Cimmerian Bosporus,P8.1;OCD,
CHA,Charax Spasinu,P8.2;OCD,"Charax [40.788976,29.613672; precise; 300.0,640.0; /places/511205; 0.60]; Charax [44.430727,34.12825; precise; -330.0,640.0; /places/226562; 0.60]; Charax/(I)Scina [31.1305169994,17.102736186; related; -330.0,640.0; /places/363951; 0.60]; Charax/Charakipolis [38.75,28.25; rough; -30.0,300.0; /places/550495; 0.60]; Charax? [39.622921,38.801937; precise; -30.0,640.0; /places/628953; 0.60]"
ATR,Ganzak,P8.2;OCD,"Ganzak?/Gazaca?/Gazae? [37.012264,46.201883; precise; -30.0,640.0; /places/884148; 1.00]"
GOR,Corduene,P8.2;OCD,
XIO,Longcheng,P8.3;CAH-XI,
GOG,Gungnae,P8.3;SAM,
BUY,Buyeo,P8.3;SAM,
MAH,Mahan,P8.3;SAM,"Māhān [30.0598368155,57.2900167809; precise; 1700.0,2100.0; /places/878177648; 1.00]"
JIN,Jinhan,P8.3;SAM,
BYE,Byeonhan,P8.3;SAM,
WAA,Yayoi polities,P8.3;CAH-XI,
SAT,Pratishthana,P8.4;CAH-XI,
KUN,Kuninda,P8.4;CAH-XI,
BEJ,Beja country,P8.5;CAH-XI,
QAT,Timna,P8.6;CAH-XI,"Hathor Temple, Timna Valley [29.7679517,34.9563847; precise; -2000.0,-1000.0; /places/621938445; 0.59]; Slaves' Hill (Timna Valley) [29.7708537452,34.9479748906; precise; -1000.0,2099.0; /places/765348072; 0.59]"
KIN,Qaryat al-Faw,P8.6;CAH-XI,"Qaryat al-Lak [36.2987515,43.2634315; precise; -720.0,2100.0; /places/741318296; 0.85]; Qaryat ad Dawā’irah, Libya [31.2431464991,14.4310286393; precise; ; /places/569909597; 0.71]"
CRU,Lower Weser,P8.7;CAH-XI,"Lower Lea [52.042777,-1.433485; precise; -30.0,640.0; /places/79580; 0.70]; Athribis (Lower Egypt) [30.4707015,31.18425; precise; -2010.0,2000.0; /places/727078; 0.64]; Lower Agora [37.2918294,13.5858994; precise; -550.0,300.0; /places/499750546; 0.64]; Muhattet el-Haj (lower) [31.25,35.75; rough; -30.0,640.0; /places/697712; 0.62]; Lower Main Street [34.748791607,40.7336552909; precise; -100.0,199.0; /places/451190263; 0.57]"
CHT,Hesse,P8.7;CAH-XI,
FRI,Frisia,P8.7;CAH-XI,
LAN,Lower Elbe,P8.7;CAH-XI,"Lower Lea [52.042777,-1.433485; precise; -30.0,640.0; /places/79580; 0.74]; Athribis (Lower Egypt) [30.4707015,31.18425; precise; -2010.0,2000.0; /places/727078; 0.67]; Muhattet el-Haj (lower) [31.25,35.75; rough; -30.0,640.0; /places/697712; 0.67]; Lower Main Street [34.748791607,40.7336552909; precise; -100.0,199.0; /places/451190263; 0.59]; Lower Agora [37.2918294,13.5858994; precise; -550.0,300.0; /places/499750546; 0.57]"
SEM,Elbe basin,P8.7;CAH-XI,
HER,Thuringia,P8.7;CAH-XI,
QUA,Danube valley,P8.7;CAH-XI,"Hathor Temple, Timna Valley [29.7679517,34.9563847; precise; -2000.0,-1000.0; /places/621938445; 0.64]; Slaves' Hill (Timna Valley) [29.7708537452,34.9479748906; precise; -1000.0,2099.0; /places/765348072; 0.64]; Valley [47.892828,11.77918; precise; 300.0,640.0; /places/187606; 0.63]; Holy Valley [34.2581385,35.9841445; precise; 300.0,2100.0; /places/657612457; 0.58]; Mytikas Valley Dam [38.710936,20.969995; precise; -550.0,-30.0; /places/533787; 0.52]"
GUT,Vistula delta,P8.7;CAH-XI,"Vistula (river) [51.6571656024,20.0596341879; precise; -330.0,2100.0; /places/20639; 0.70]; Nile Delta [31.25,30.25; rough; 1918.0,2000.0; /places/619096567; 0.70]; Indus Delta [24.07,67.59; precise; 1700.0,2100.0; /places/281606373; 0.67]; Septem Maria (Po River Delta) [44.9086845683,9.59557755636; related; -30.0,640.0; /places/393494; 0.52]"
VAN,Oder basin,P8.7;CAH-XI,
RUG,Pomerania,P8.7;CAH-XI,
BRG,Oder basin,P8.7;CAH-XI,
ANG,Angeln,P8.7;CAH-XI,
SAX,Lower Elbe,P8.7;CAH-XI,"Lower Lea [52.042777,-1.433485; precise; -30.0,640.0; /places/79580; 0.74]; Athribis (Lower Egypt) [30.4707015,31.18425; precise; -2010.0,2000.0; /places/727078; 0.67]; Muhattet el-Haj (lower) [31.25,35.75; rough; -30.0,640.0; /places/697712; 0.67]; Lower Main Street [34.748791607,40.7336552909; precise; -100.0,199.0; /places/451190263; 0.59]; Lower Agora [37.2918294,13.5858994; precise; -550.0,300.0; /places/499750546; 0.57]"
JUT,Jutland,P8.7;CAH-XI,
SUI,Uppland,P8.7;CAH-XI,
AES,Sambia,P8.7;CAH-XI,
VEN,Vistula basin,P8.7;CAH-XI,"Vistula (river) [51.6571656024,20.0596341879; precise; -330.0,2100.0; /places/20639; 0.70]"
FIN,Finnic coast,P8.7;CAH-XI,"Hadrian's Wall (Cumbrian Coast) [54.8709720268,-3.34130181741; related; -30.0,640.0; /places/579047271; 0.62]"
CAT,Camulodunum,P8.7;CAH-XI,"Col. Camulodunum [51.8900740264,0.901087762674; precise; -30.0,2100.0; /places/79393; 0.85]"
TRI,Camulodunum,P8.7;CAH-XI,"Col. Camulodunum [51.8900740264,0.901087762674; precise; -30.0,2100.0; /places/79393; 0.85]"
ORD,North Wales,P8.7;CAH-XI,"North Wraxall [51.4838129,-2.2383387; precise; -30.0,640.0; /places/79619; 0.75]; North Leigh [51.8360494801,-1.42512036473; precise; -30.0,2099.0; /places/79618; 0.73]; Turret 12B (North Lodge) [54.999361,-1.805129; precise; -30.0,640.0; /places/967060408; 0.73]; North Theater (Jerash) [32.2826257803,35.8924267331; precise; -30.0,300.0; /places/804496327; 0.67]; Unnamed group of bridges over R. Zadorra, north of Bele(g)ia [42.85830995,-2.7231852; precise; -30.0,300.0; /places/208942144; 0.67]"
CAL,Caledonia,P8.7;CAH-XI,"Caledonia (region) [57.0521712841,-3.89286671531; precise; -30.0,640.0; /places/89132; 1.00]"
ULA,Ulster,P8.7;CAH-XI,
DAC,Sarmizegetusa,P8.7;CAH-XI,"Sarmizegetusa (Regia) [45.669615,23.323961; precise; -330.0,300.0; /places/207425; 1.00]; Ulpia Traiana Sarmizegetusa [45.5147445,22.7852665; precise; -30.0,300.0; /places/207527; 0.65]; Sarmizegetusa Roman amphitheater [45.5166971246,22.7858951511; precise; -30.0,300.0; /places/524360868; 0.58]"
GET,Lower Danube,P8.7;CAH-XI,"Lower Lea [52.042777,-1.433485; precise; -30.0,640.0; /places/79580; 0.67]; Lower Main Street [34.748791607,40.7336552909; precise; -100.0,199.0; /places/451190263; 0.62]; Athribis (Lower Egypt) [30.4707015,31.18425; precise; -2010.0,2000.0; /places/727078; 0.61]; Lower Agora [37.2918294,13.5858994; precise; -550.0,300.0; /places/499750546; 0.61]; Muhattet el-Haj (lower) [31.25,35.75; rough; -30.0,640.0; /places/697712; 0.59]"
BAS,Carpathian foreland,P8.7;CAH-XI,
IAZ,Tisza plain,P8.7;CAH-XI,"Sharon plain [32.28333,34.91667; precise; -587.0,1599.0; /places/465843763; 0.70]; Cilbian Plain [38.145259369,28.1096001169; related; -30.0,2100.0; /places/380702854; 0.67]; Stari Grad Plain [43.1821939474,16.6369958992; precise; 2000.0,2099.0; /places/721484283; 0.67]; Stenykleros (plain) [37.2206968134,21.997165214; precise; ; /places/570690; 0.62]; Argive Plain [37.5873114132,22.7618488491; related; ; /places/116805959; 0.61]"
ROX,Lower Don,P8.7;CAH-XI,"Muhattet el-Haj (lower) [31.25,35.75; rough; -30.0,640.0; /places/697712; 0.71]; Lower Agora [37.2918294,13.5858994; precise; -550.0,300.0; /places/499750546; 0.70]; Lower Lea [52.042777,-1.433485; precise; -30.0,640.0; /places/79580; 0.67]; Athribis (Lower Egypt) [30.4707015,31.18425; precise; -2010.0,2000.0; /places/727078; 0.60]; Lower Main Street [34.748791607,40.7336552909; precise; -100.0,199.0; /places/451190263; 0.54]"
AOR,Lower Don,P8.7;CAH-XI,"Muhattet el-Haj (lower) [31.25,35.75; rough; -30.0,640.0; /places/697712; 0.71]; Lower Agora [37.2918294,13.5858994; precise; -550.0,300.0; /places/499750546; 0.70]; Lower Lea [52.042777,-1.433485; precise; -30.0,640.0; /places/79580; 0.67]; Athribis (Lower Egypt) [30.4707015,31.18425; precise; -2010.0,2000.0; /places/727078; 0.60]; Lower Main Street [34.748791607,40.7336552909; precise; -100.0,199.0; /places/451190263; 0.54]"
SIR,Kuban basin,P8.7;CAH-XI,"Hypanis/Kuban (river) [44.8792037346,40.2910795673; precise; -330.0,2099.0; /places/825273; 0.62]"
ALA,North Caucasus,P8.7;CAH-XI,"Caucasus (mountain range) [42.389803561,44.7941380396; related; -550.0,300.0; /places/863766; 0.73]; Hemodos/Imaus/Caucasus (mountains) [30.2477642076,81.172610489; precise; -330.0,2100.0; /places/59834; 0.73]; North Agora [37.7085569802,28.7233927685; precise; ; /places/326045393; 0.64]; North Wraxall [51.4838129,-2.2383387; precise; -30.0,640.0; /places/79619; 0.59]; North Citadel Gate [34.7508348964,40.7309327823; precise; -100.0,199.0; /places/451190270; 0.56]"
KNG,Syr Darya,P8.8;CHG,
WSN,Ili valley,P8.8;CHG,"Holy Valley [34.2581385,35.9841445; precise; 300.0,2100.0; /places/657612457; 0.76]; Valley [47.892828,11.77918; precise; 300.0,640.0; /places/187606; 0.75]; Hathor Temple, Timna Valley [29.7679517,34.9563847; precise; -2000.0,-1000.0; /places/621938445; 0.73]; Slaves' Hill (Timna Valley) [29.7708537452,34.9479748906; precise; -1000.0,2099.0; /places/765348072; 0.73]; Mytikas Valley Dam [38.710936,20.969995; precise; -550.0,-30.0; /places/533787; 0.57]"
XIA,Eastern steppe,P8.8;CAH-XI,"Eastern sanctuary [41.891111,12.721667; precise; -550.0,2099.0; /places/873891351; 0.65]; Kynouria (Eastern Peloponnese) [37.4022448802,22.7160014075; precise; -750.0,640.0; /places/570395; 0.61]; Eastern Outer Wall of Babylon [32.5503793105,44.4387476097; precise; -720.0,2099.0; /places/722340789; 0.47]; Eastern theater at Laodicea ad Lycum [37.837941,29.111143; precise; -550.0,300.0; /places/601030061; 0.44]"
WHU,Liaoxi,P8.8;CAH-XI,
DNG,Upper Yenisei,P8.8;CAH-XI,"Muhattet el-Haj (upper) [31.25,35.75; rough; -30.0,640.0; /places/697713; 0.56]; Upper Agora [37.6773148,30.5176234; precise; -30.0,300.0; /places/290042871; 0.50]; Upper Chambers at Kalhu [36.098075,43.327088; precise; -1000.0,2099.0; /places/303354808; 0.44]; Upper Agora at Akragas/Agrigentum [37.2975038,13.5887603; precise; -750.0,300.0; /places/63728843; 0.40]"
PYU,Beikthano,P8.9;CAH-XI,
